title,author,score,num_reviewers,main genre,middle genre,subclass,introduction,review
"Smart Phonics 2 Student Book, Short Vowels",이퓨쳐 편집부,0.0점, 7,어린이,어린이영어,첫걸음,"Smart Phonics는 영어를 외국어로 배우는 아이들을 위해 개발된 파닉스 전문 교재로 모두 다섯 권으로 구성되어 있으며, 다양한 게임과 활동을 통해 영어를 처음 접하는 아이들도 쉽게 파닉스를 터득할 수 있습니다. 또한 Student Book의 CD-ROM에는 파닉스 랜드가 포함되어 재미있는 캐릭터와 게임으로 파닉스를 즐길수 있습니다.[단계별 학습 목표]1단계 : 알파벳 소리 (Single Letter Sounds) 2단계 : 단모음 (Short Vowels) 3단계 : 장모음 (Long Vowels) 4단계 : 이중 자음 (Double Letter Consonants) 5단계 : 이중 모음 (Double Letter Vowels) [CD-ROM] Student Book 에 포함되어 있습니다.- Student's Book 학습을 위한 Audio Track.- Phonics 학습을 위한 단계별 150여 가지 다양한 Game 수록.◎ 교재 특징→ 각 단계별 뚜렷한 학습 목표의 제시. → 수업절차가 세밀하게 반영된 체계적인 구성. → 수업의 흥미를 유도하기 위한 다양한 활동 수록. → 흥미와 학습 효과의 최대화를 위한 Phonics Game CD-ROM",
"Smart Phonics 3 스마트 파닉스,Student Book Long Vowels",이퓨쳐 편집부,9.5점, 6,어린이,어린이영어,첫걸음,"Smart Phonics는 영어를 외국어로 배우는 아이들을 위해 개발된 파닉스 전문 교재로 모두 다섯 권으로 구성되어 있으며, 다양한 게임과 활동을 통해 영어를 처음 접하는 아이들도 쉽게 파닉스를 터득할 수 있습니다. 또한 Student Book의 CD-ROM에는 파닉스 랜드가 포함되어 재미있는 캐릭터와 게임으로 파닉스를 즐길수 있습니다.[단계별 학습 목표]1단계 : 알파벳 소리 (Single Letter Sounds) 2단계 : 단모음 (Short Vowels) 3단계 : 장모음 (Long Vowels) 4단계 : 이중 자음 (Double Letter Consonants) 5단계 : 이중 모음 (Double Letter Vowels) [CD-ROM] Student Book 에 포함되어 있습니다.- Student's Book 학습을 위한 Audio Track.- Phonics 학습을 위한 단계별 150여 가지 다양한 Game 수록.◎ 교재 특징→ 각 단계별 뚜렷한 학습 목표의 제시. → 수업절차가 세밀하게 반영된 체계적인 구성. → 수업의 흥미를 유도하기 위한 다양한 활동 수록. → 흥미와 학습 효과의 최대화를 위한 Phonics Game CD-ROM",
"Smart Phonics 4 New Edition,Student Book,Two Letter Consonants,스마트 파닉스",이퓨쳐 편집부,0.0점, 1,어린이,어린이영어,첫걸음,"Smart Phonics는 영어를 외국어로 배우는 아이들을 위해 개발된 파닉스 전문 교재로 모두 다섯 권으로 구성되어 있으며, 다양한 게임과 활동을 통해 영어를 처음 접하는 아이들도 쉽게 파닉스를 터득할 수 있습니다. 또한 Student Book의 CD-ROM에는 파닉스 랜드가 포함되어 재미있는 캐릭터와 게임으로 파닉스를 즐길수 있습니다.[단계별 학습 목표]1단계 : 알파벳 소리 (Single Letter Sounds) 2단계 : 단모음 (Short Vowels) 3단계 : 장모음 (Long Vowels) 4단계 : 이중 자음 (Double Letter Consonants) 5단계 : 이중 모음 (Double Letter Vowels) [CD-ROM] Student Book 에 포함되어 있습니다.- Student's Book 학습을 위한 Audio Track.- Phonics 학습을 위한 단계별 150여 가지 다양한 Game 수록.◎ 교재 특징→ 각 단계별 뚜렷한 학습 목표의 제시. → 수업절차가 세밀하게 반영된 체계적인 구성. → 수업의 흥미를 유도하기 위한 다양한 활동 수록. → 흥미와 학습 효과의 최대화를 위한 Phonics Game CD-ROM",
"Smart Phonics 1 Student Book Single Letters,스마트 파닉스",이퓨쳐 편집부,9.0점, 23,어린이,어린이영어,첫걸음,"Smart Phonics는 영어를 외국어로 공부하는(EFL) 초등학생들이 배우기 쉽고(easy-to-learn), 교사들에게는 가르치기 쉽도록(easy-to-teach) 가안된 파닉스 시리즈입니다. 총 5단계로 구성되어 간단하고도 체계적인 방법으로 파닉스를 학습할 수 있으며, 학습자들이 Reading과 Writing을 시작할 수 있도록 효과적으로 영어의 기초를 다지게 합니다. 또한 파닉스 규칙에 맞지는 않지만 책을 읽을 때 자주 등장하는 많은 사이트 워드(sight words)를 story와 song에 수록하면서 아이들이 자연스럽게 사이트 워드를 학습하고 읽어 낼 수 있도록 유도하였습니다.",
경선식 영단어 초등 3~4학년 2019,경선식,10.0점, 7,,,,"『경선식 영단어 초등 ③~④학년』은 초등학교 필수 어휘, 중학교 기초 어휘를 재미있는 만화와 함께 구성한 영어 단어책입니다. 단어 암기에 쉽게 싫증을 내는 초등학생들을 위해 각 단어의 연상법에 해당하는 만화를 거의 모두 수록하여 재미있게 암기하도록 했으며, 정확한 발음을 했을 때 연결되는 연상법 또한 쉽고, 직관적으로 구성하여 자연스럽게 영단어에 대한 흥미를 유발하고 더욱 쉽고 빠르게 영단어를 암기할 수 있도록 도와줍니다. 또한 해마 학습법으로 5~10배 빠르게 암기할 수 있도록 도와 줍니다. '해마학습법'이란 기억작용의 중심 역할을 하는 뇌 속의 해마를 활용하여 기억할 대상을 연상을 통해 그림으로 표현, 시각화하여 보다 빠르고 오래 암기할 수 있는 과학적인 연상 기억학습법입니다. 이러한 해마학습법은 영어를 제2외국어로 선택하고 있는 많은 나라에서 이미 가장 효과적인 단어 암기법으로 인정받고 있습니다.총 2권으로 구성된 이 책은 290만명 이상이 선택한 베스트셀러 『경선식 영단어 초스피드 암기비법』 경선식 선생님의 “경선식 영단어 초스피드 암기비법” 시리즈의 하나입니다. 해마학습법이 적용된 만화 이미지와, 연상법, 발음기호 및 쓰기연습을 통해 초등학교 필수 어휘, 중학교 기초 어휘를 자연스럽게 학습할 수 있도록 했습니다.","우리 뇌에는 '해마'라는 부분이 있습니다. 이 해마는 우리가 기억 작용을 할 때 집중적으로 활용되는 곳입니다. 우리가 영어 단어를 무작정 많이 읽으면서, 또는 쓰면서 암기할 때는 이 해마 부분이 거의 활성화되지 않지만 어떤 상황을 상상하여 머릿속에 그림을 그리듯이 암기하면 해마가 활발하게 작용하는 것이 실험으로 확연히 증명되고 있습니다. 이렇게 장면을 상상해서 암기하면 무작정 암기하는 방법과는 비교도 안 될 정도로 오랜 기간 기억할 수 있게 됩니다. 결국 해마학습법은 암기하기 어려운 내용도 쉽게 이미지로 연상하여 암기효과를 극대화시키는 효과적인 학습법인 것입니다. - 해마학습법이란?우리 뇌에는 '해마'라는 부분이 있습니다. 마치 바다 동물인 해마와 모양이 비슷해서 붙여진 이름인데요, 이 해마는 우리가 기억 작용을 할 때 집중적으로 활용되는 곳입니다. 그런데 우리가 영어 단어를 무작정 많이 읽으면서, 또는 쓰면서 암기할 때는 이 해마 부분이 거의 활성화되지 않습니다. 반면에 어떤 상황을 상상하여 머릿속에 그림을 그리듯이 암기하면 해마가 활발하게 작용하는 것이 실험으로 확연히 증명되고 있습니다. 이렇게 장면을 상상해서 암기하면 무작정 암기하는 방법과는 비교도 안 될 정도로 오랜 기간 기억할 수 있게 됩니다. 결국 해마학습법은 암기하기 어려운 내용도 쉽게 이미지로 연상하여 암기효과를 극대화시키는 효과적인 학습법입니다. - 해마학습법의 적용 예해마학습법을 단어 암기에 적용하기 위해서는 단어마다 적절한 이미지를 만들어야 합니다. 예를 들어 'fruit(프루-트: 과일)'을 암기하기 위해서는 'fruit' 이라는 단어와 그 뜻을 영상 이미지로 연결시켜주어야 하는데 발음 '프루-트'는 '푸릇'처럼 발음이 비슷한 한국말로 인식할 수 있습니다. 즉 'fruit'을 정확히 발음하면서 푸릇푸릇한 '과일'의 이미지를 상상하여 그림으로 기억하는 것입니다. 이렇게 단어를 발음하면서 머릿속에 그 단어의 뜻과 관련된 영상 이미지를 떠올리면 쉽게 그 뜻이 암기되고 오래 기억에 남는 것입니다.- K방송 '공부 잘하는 방법 시리즈에 소개 되었던 기억 전략은 곧 해마학습법'K방송에서 '공부 잘하는 방법 시리즈' 중 연상법을 사용한 기억력의 효과를 측정하여 소개한 바 있습니다. 총 100명의 실험자 중 암기력이 90-100등 사이의 10명의 사람에게 연상법을 사용하여 암기력 훈련을 시킨 결과 암기력 등수가 37등, 32등, 13등으로 월등하게 향상되었습니다. 연상법은 단어와 숫자를 기억하는 좌뇌와 이미지를 기억하는 우뇌를 골고루 활용하게 하여 뇌의 활용도를 높여 줍니다. 많은 전문가들이 이러한 해마학습법이 기억력을 향상시키는 데 큰 효과가 있다고 입을 모아 말합니다.- 이 책의 200% 활용법1. 해마학습법의 원리를 이해하고 학습하면 최대의 효과를 볼 수 있습니다.2. 해마학습법의 원리를 잘 이해한 후 혼자서 책으로 공부해도 효과는 탁월하지만 인터넷 강의를 이용하면 선생님의 정확하고 명확한 발음을 바로 따라서 습득할 수 있고 선생님의 생생한 표정과 느낌 전달을 통해 더 빠르고 효과적으로 암기할 수 있습니다. 3. 연상법 설명을 그냥 읽고 이해하면서 넘어가기보다는 뜻과 관련된 상황과 느낌을 강하게 받아들여 해마를 자극하고 발음을 하면서 동시에 뜻이 생각나도록 연습합니다.4. 각 강마다 강의를 듣고, 혹은 책을 통해 학습하고 나면 바로 복습을 하도록 합니다.5. 복습할 때 한 단어에 많은 시간을 들이기보다는 빠르게 여러 번 반복하는 것이 더욱 효과적입니다.6. 강의를 활용할 경우, 선생님의 발음뿐만 아니라 행동과 표정도 적극적으로 따라하며 강하게 느낌을 받아들여서 암기합니다.7. 진도에 급급해서 많은 양을 하는 것보다는 차라리 진도가 늦더라도 한 강씩 충분히 복습하면서 학습하는 것이 좋습니다. 8. 일주일에 하루는 그 일주일간 암기한 어휘를 반드시 복습합니다.9. 끝까지 다 학습한 후에도 책 속의 모든 단어가 완벽하게 암기될 때까지 처음부터 다시 반복해서 복습을 합니다. (이때 휴대용 암기장을 사용하면 효과적입니다.)저자 직강 동영상 강의 제공동영상 강의를 들으면 그 자리에서 100% 가까이 암기되고 효과도 5배이상으로 올라갑니다.www.kssedu.com경선식에듀에서 직접 무료 샘플 강의를 확인해 보세요.* [원어민 발음] MP3 파일 무료 다운로드 (kssedu.com)"
"문법이 쓰기다 기본 1 초등 영문법, 쓸 수 있어야 진짜 문법이다!, 중학 서술형까지 저절로 대비되는 Grammar for WRITING",키 영어학습방법연구소,10.0점, 42,학습/참고서,초등학교,초등4학년,"『초등 영문법, 문법이 쓰기다 기본』제1권. 초등 영어 전 과정에서 다루는 문법 내용을 특징 중심으로 묶어 일일 학습만으로 쉽게 소화할 수 있게 쪼개 설명합니다. 흥미로운 문법 규칙을 익힌 뒤에는 이 지식을 바탕으로 수수께끼를 풀 듯 문장 쓰기 연습을 시작합니다. 이 단계까지 마치면 자유로운 쓰기로 문법을 확장 응용할 수 있게 되며, 그 과정에서 영어에 대한 자신감이 절로 높아집니다.","초등 영문법, 쓸 수 있어야 진짜 문법이다!!! “문법을 배우는 진짜 이유는 바로 Writing 쓰기다!!”규칙을 외워서 문제를 풀고 규칙 적용의 오류를 찾아내는 식의 문법 학습은 ‘공부를 위한 공부’에 그칠 가능성이 큽니다. 영어를 두 번째 언어로 습득해 유창하게 사용할 수 있게 하는 것은 물론 영어를 학습하는 과정에서 종합적 사고력과 창의력을 기를 수 있게 하기 위해서는 ‘쓰기’를 통해 문법 지식을 적극적으로 응용하는 훈련을 하는 것이 필수입니다. “스스로 writing쓰고 싶어지고 저절로 writing써지는 구성이다!!”  스스로 쓰고 싶어지는 초등 영문법 <문법이 쓰기다>는 초등 영어 전 과정에서 다루는 문법 내용을 특징 중심으로 묶어 일일 학습만으로 쉽게 소화할 수 있게 쪼개 설명합니다. 흥미로운 문법 규칙을 익힌 뒤에는 이 지식을 바탕으로 수수께끼를 풀 듯 문장 쓰기 연습을 시작합니다. 이 단계까지 마치면 자유로운 쓰기로 문법을 확장 응용할 수 있게 되며, 그 과정에서 영어에 대한 자신감이 절로 높아집니다."
Smart Phonics 3 Long Vowels,JAYNE LEE,0.0점, 0,어린이,어린이영어,첫걸음,『SMART PHONICS』시리즈 워크북 ‘WORKBOOK LONG VOWELS'. SMART PHONICS는 영어를 외국어로 배우는 아이들을 위해 개발된 파닉스 전문 교재이다. 다양한 게임과 학습 활동을 통해 영어를 처음 접하는 아이들도 쉽게 파닉스를 터득할 수 있게 안내한다. 풍부한 일러스트가 제공된다.,
Bricks Reading 30 1 SB+WB+CD set,Bricks 편집부,9.0점, 2,해외도서,유아청소년/교육,,어린이영어 교재『BRICKS READING 30』제1권. 이 책은 교과서와 관련된 테마를 주제로 한 영어 읽기 교재이다. 중요한 패턴의 구절로 수록하였으며 전체 페이지를 재미있는 일러스트로 구성하여 시선을 사로잡는다. 패턴을 연습하기 위해 문장을 완성시키는 학습활동을 함께 담았다,
기적의 사이트 워드,주선이,10.0점, 30,어린이,어린이영어,,"영어 문장 읽기에 날개를 달아주는 Sight Words!파닉스를 공부하고 영단어를 많이 알아도 대부분의 아이들은 영어 문장을 쉽게 읽어나가지 못합니다. 그 이유는, 의미가 명확하게 드러나지 않는 기능어들(대명사, 접속사, 전치사)이 문장의 절반 이상을 차지하기 때문입니다. 게다가 그 단어들 대다수가 파닉스 규칙을 따르지 않아서 생각하는 것과 달리 발음되고 읽힙니다.그래서 이런 단어들, 즉 사이트 워드는 글자 그대로 눈에 익히고 발음을 귀에 익혀서 통째로 기억해 두는 것이 좋습니다. 영어 학습을 이어나갈 때, 단어나 파닉스 단계에서 한발 나아가 읽기를 통한 영어성장으로 이끌고자 한다면 ‘사이트 워드’를 꼭 한번 짚어줄 필요가 있습니다. 사이트 워드를 학습한 아이와 건너뛴 아이의 읽기 유창성에는 큰 차이가 보입니다. 이 책은 파닉스에서 리딩으로 넘어가는 시기에 꼭 알아야 할 필수 사이트 워드 160개를 담고 있습니다. 저학년 아이들의 흥미와 관심을 지속시켜 줄 수 있는 신나는 챈트와 다양한 삽화로 재미있게 학습할 수 있게 했습니다.","■ 사이트 워드란?사이트 워드(Sight Words)는 보자마자 한눈에 바로 읽어내야 하는 단어를 말합니다. 어린이 영어책의 절반 이상을 차지할 정도로 자주 등장하는 동시에, 파닉스 규칙에서 벗어나기 때문에 통문자로 철자와 발음을 익혀야 하는 단어들입니다. 사이트 워드를 익히면 영어 읽기 속도와 정확성을 높일 수 있습니다. ■ 이 책의 특징1. 언어교육 학자가 제시하는 사이트 워드 160개미국 초등학생 1, 2학년이 학교에서 필수로 익히는 사이트 워드 160개를 선별. 파닉스 학습만으로는 놓치기 쉬운 빈도 높은 어휘를 익힌다.2. 사이트 워드를 확실히 익히는 3단계 학습 구성1. 철자와 발음 학습 ==〉  2. 확인 테스트 ==〉 3. 스토리 읽기로 이뤄지는 탄탄한 학습설계3. 신나는 챈트, 큼직한 단어카드, 재미있는 스토리까지!저학년 아이들의 학습 흥미를 끌어주는 다양한 학습장치로, 자칫 어려워질 수 있는 사이트 워드 학습이 즐겁게 이어집니다.4. 4주 단기 학습으로 사이트 워드 마스터하루에 8단어씩 20일 집중 학습하여 영어 읽기를 위한 기초를 마련합니다.----QR코드로 듣기 제공 :　핸드폰으로 QR코드를 스캔하여 간편히 학습 음원을 청취할 수 있습니다.		      (www.gilbutschool.co.kr 홈페이지에서 전체 mp3 파일 다운로드 가능)읽기 연습 자료 제공 : 본책 뒤에 실린 〈Can You Read This?〉 자료로, 그날 배운 사이트 워드와 파닉스 단어가 섞인 문장을 빠르고 정확하게 읽는 연습을 해볼 수 있습니다."
초등영문법 3800제 1,마더텅편집부,10.0점, 19,학습/참고서,초등학교,,"12년 연속 1위, 362만부 돌파!중학영문법 최강 1등 교재, 중학영문법 3800제의 초등영어 시리즈! 1. 영문법의 기초를 확실히 마스터하는 3단계 구성 - STEP 1 문법설명+간단확인테스트 - STEP 2 PRACTICE 연습문제 - STEP 3 LET'S PRACTICE MORE! 추가 연습문제 2. 한 번 배운 문법을 제대로 익힐 수 있도록 반복 연습하게 하는 풍부한 문제 수 3. 중학교 시험에 대비할 수 있도록 다양한 서술형 문제 제공 4. 2015 개정교과서 교육부 지정 필수 초등 500단어, 중학 750단어 완전 수록 5. 문제 이해를 돕는 다양한 사진 자료 제공 6. 원어민 음성으로 녹음한 단어, 문장 MP3 무료 제공 7. 배운 내용을 다시 복습할 수 있는 단어쓰기 연습장, 받아쓰기 시험지, 단어암기 시험지 무료 제공 8. 종합평가를 위한 실전테스트 2회분 수록","12년 연속 1위, 362만부 돌파! 중학영문법 최강 1등 교재, 중학영문법 3800제의 초등영어 시리즈! 1. 영문법의 기초를 확실히 마스터하는 3단계 구성 - Step 1 문법설명+간단확인테스트 - Step 2 Practice 연습문제 - Step 3 Let's Practice More! 추가 연습문제 2. 한 번 배운 문법을 제대로 익힐 수 있도록 반복 연습하게 하는 풍부한 문제 수 3. 중학교 시험에 대비할 수 있도록 다양한 서술형 문제 제공 4. 2015 개정교과서 교육부 지정 필수 초등 500단어, 중학 750단어 완전 수록 5. 문제 이해를 돕는 다양한 사진 자료 제공 6. 원어민 음성으로 녹음한 단어, 문장 MP3 무료 제공 7. 배운 내용을 다시 복습할 수 있는 단어쓰기 연습장, 받아쓰기 시험지, 단어암기 시험지 무료 제공 8. 종합평가를 위한 실전테스트 2회분 수록"
