title,author,score,num_reviewers,main genre,middle genre,subclass,introduction,review
읽기만 하면 내 것이 되는 1페이지 미술 365,김영숙,9.43점, 50,예술/대중문화,미술,미술이야기,"문득, 미술관에 가고 싶은 당신에게1일 1페이지, 세계 명화 365점을 만나는 아름다운 교양수업『읽기만 하면 내 것이 되는 1페이지 미술 365』는 매일 1페이지씩, 세계 명화 365점과 함께 미술의 모든 지식을 단 한 권으로 만날 수 있는 책이다. 월요일부터 일요일까지 명작, 미술사, 화가, 장르·기법, 미술로 보는 세계사, 스캔들·미스터리, 신화·종교 총 일곱 분야의 지식을 다루고 있어 꼭 알아야 할 미술 교양을 빠짐없이 쌓을 수 있다.반 고흐, 렘브란트처럼 잘 알려진 화가부터 콜비츠, 키르히너 등 우리가 미처 잘 몰랐던 근대화가의 눈부신 명작들을 엄선해 다뤘고, 회화뿐 아니라 조각, 고대벽화, 판화 등 다양한 장르의 미술 작품을 충실히 담았다. 단지 화가와 작품에 대한 소개에서 끝나는 것이 아니라, 그림에 얽힌 세계사·신화·기법·미스터리 등 풍성한 뒷이야기를 함께 소개해 재미있게 읽기만 하면 인문학 지식 세계가 확장되는 경험을 할 수 있다.","★★★인문교양 베스트셀러 시리즈★★★빈센트 반 고흐부터 잭슨 폴록까지, 1일 1페이지 명화 365점의 교양을 만난다“이 그림 앞에 앉아 머물 수 있었기 때문에 인생의 10년은 행복할 것이다.” _빈센트 반 고흐반 고흐의 〈해바라기〉를 보며 그 눈부신 노란색에 감탄했던 순간, 페르메이르의 〈진주 귀고리를 한 소녀〉 속 소녀의 이야기를 궁금해했던 날, 언젠가의 전시회에서 행복하게 그림을 감상했던 기억…. 떠올려보면 미술은 언제나 우리 삶 속에 있었고, 지금도 늘 곁에 존재한다. 하지만 ‘미술’이라고 하면, 어쩐지 멀게만 느껴진다. 르네상스, 매너리즘 시대, 다리파, 석판화 등 미술사와 기법의 이야기로 넘어가면 지루하고 어려울 것 같다는 편견이 고개를 든다.하지만 이 책 《읽기만 하면 내 것이 되는 1페이지 미술 365》에서 펼쳐지는 미술은 완전히 다르다. 인류 최초의 미술부터 근대 미술에 이르기까지, 위대한 작품과 화가가 품고 있는 지성의 역사를 매혹적인 스토리텔링으로 풀어냈다. 월요일부터 일요일까지 하루에 1페이지씩 아름답고 신비한 매력의 명화들을 매일매일 감상하는 동안, 365점의 명화 속에 서려 있는 수만 년의 깊고 방대한 지식들이 인문학 세계를 확장해줄 것이다.“쉽다, 찬란하다, 재미있다!”세계 역사와 경제·정치사, 고전 문학과 신화·종교를 아우르는세상에서 가장 매혹적인 인문학 수업“〈거울을 보는 아프로디테〉가 손도끼에 찢긴 이유는?”“〈최후의 만찬〉에 담긴 비밀스러운 성서의 상징들”“〈꽃이 있는 정물화〉로 보는 유럽 경제의 호황과 불황…”하나의 걸작에는 겹겹이 쌓인 역사와 문화의 층이 있고, 그 안에도 무궁무진한 이야기들이 담겨 있다. 작품의 모티브가 된 고전 문학과 신화를 비롯, 예술가가 살던 당시의 문화·경제·정치가 살아 숨 쉬고, 예술가 생애 일대의 결정적 사건들이 고스란히 녹아 있다. 이 책 《읽기만 하면 내 것이 되는 1페이지 미술 365》에서는 일곱 분야의 지식을 다루면서 미술의 풍요로운 세계를 입체적으로 만나볼 수 있도록 했다. 더불어 런던 내셔널 갤러리부터, 파리 루브르 박물관, 멕시코시티의 미술관 등 소장처의 현장감을 살린 도판을 통해 명화의 찬란함을 더욱 생생하게 느낄 수 있게 했다. 이 책은 월요일부터 일요일까지 일곱 분야의 지식을 다루고 있다. [MON] 작품: 반드시 알아야 할 교양 필수 명화[TUE] 미술사: 원시미술부터 근대미술까지 미술사의 결정적 명장면[WED] 화가: 미술사에 한 획을 그었거나 인상적인 삶을 산 예술가[THU] 장르·기법: 거장들이 시행착오 끝에 완성한 회화 양식과 기술[FRI] 세계사: 세계 역사의 주요 사건을 기록한 시대적 명화[SAT] 스캔들: 걸작에 숨겨진 뒷이야기와 미술사 속 논란의 순간[SUN] 신화·종교: 작품으로 만나는 그리스 신화와 성서, 그리고 전설20권 이상의 미술 관련 책을 펴낸 미술 에세이스트이자, 오랜 시간 현장에서 미술사를 강의하며 대중과 눈높이를 맞춰온 김영숙 작가는 인문학을 넘나들며 미술의 폭과 깊이를 쉽고 명료하게 써냈다. 2만 5천 년의 미술사를 꿰뚫은, 365일의 여정을 마치고 나면 누구나 시야가 넓어지고 통찰력이 생기는 경험을 하게 될 것이다.시대를 관통하는 미술의 교양, 당신의 모든 순간에 빛이 되는 그림“모든 예술가에게는 시대의 각인이 찍혀 있다. 위대한 예술가는 그러한 각인이 가장 깊이 새겨져 있는 사람이다.” 앙리 마티스의 이 말처럼 미술에는 오랜 시간의 역사가 응축되어 만들어진 열정적이고 장엄한 이야기들이 살아 있다. 그 수만 년을 거슬러 현재에 다다른 미술 작품 속에서 우리는 지식을 채우고, 행복해지며, 지친 마음 가득 위로받는다.“이 그림 앞에 앉아 머물 수 있었기 때문에 인생의 10년은 행복할 것이다.” 반 고흐는 이 책에 소개된 〈유대인 신부〉라는 작품을 보고 이렇게 말했다. 미술관 관람은커녕, 외출조차 마음 편히 할 수 없는 시대. ‘매혹적이고, 놀랍고, 우아하며, 가슴 뭉클하도록 감동적인’ 이 책의 명화 365점과 함께 ‘내 손 안의 미술관’으로 지식 여행을 떠나보면 어떨까."
,,,,,,,,
브람스를 좋아하세요? 세트(전2권) 류보리 대본집,류보리,0.0점, 0,예술/대중문화,,,"“꿈만 좇기엔 너무 늦은 스물아홉, 그를 만났다.”나는 음악이 우리를 위로할 수 있다고 말했지만,정작 내가 언제 위로받았었는지는 떠올리지 못했다.하지만, 그날 나는 알 수 있었다.말보다 음악을 먼저 건넨 이 사람 때문에.언젠가 내게 위로가 필요한 순간이 다시 닥쳐온다면나는 바로 지금, 이 순간을 떠올릴 것이라는 걸.그래서 나는, 상처받고 또 상처받으면서도 계속 사랑할 것임을…그날… 알았다.주인공들의 섬세한 감정선을 오롯이 느낄 수 있게 해주는 무삭제 대본집명장면 올컬러 화보와 메이킹 사진 수록으로 드라마의 감동을 더하다!*특별한 선물 : 주연 배우 사인 및 인사의 말 수록!*스물아홉 경계에 선 클래식 음악학도들의 흔들리는 꿈과 사랑에 관한 이야기를 그린 SBS 월화드라마 「브람스를 좋아하세요?」 대본집이 위즈덤하우스에서 출간된다. 섬세한 대본과 유려한 연출, 아름다운 음악과 배우들의 인생 열연이 환상의 앙상블을 만들어내며 웰메이드 감성 드라마로 호평을 받고 있는 「브람스를 좋아하세요?」는 류보리 작가의 말처럼 “음악만 바라보며 살아온 청춘들이 처음으로 세상에 발을 내딛기 직전의 설렘과 두려움이 공존하는 순간”을 따뜻하게 담고 있다. 『브람스를 좋아하세요? : 류보리 대본집』은 방송에서 미처 다 보여주지 못했던 인물들의 섬세한 감정선과 변화와 성장의 기록을 오롯이 느낄 수 있게 해주는 무삭제 대본집으로, 명장면 올컬러 화보와 메이킹 사진까지 수록하여 드라마의 감동을 더해준다.",
최고의 그림을 그리는 방법 무로이 야스오가 알려주는,무로이 야스오,9.67점, 5,예술/대중문화,,,"베스트셀러 『DVD와 함께하는 애니메이션 캐릭터 작화 기술』의 저자가 경험을 바탕으로 입문자부터 평생 취미로 즐기고 싶은 사람, 프로를 목표로 하는 사람까지 모두 참고하면 좋을 내용을 담은 필독서!이 책은 그림을 막 시작한 초보자부터 프로가 목표인 사람, 취미로 계속 그림을 그리고 싶은 사람까지, 많은 사람의 고민과 그에 따른 최적의 해결 방법을 알려줍니다. 그림 실력을 키울 수 있는 연습 방법과 관찰력을 키우는 방법, 창작 의욕을 유지하는 방법 등을 저자의 경험을 통해 간접 경험할 수 있으며, ‘나는 그림을 그리면서 인생이 압도적으로 즐거워졌다!’라고 말하는 저자의 20년간의 그림 인생을 바탕으로 어떻게 그림 실력을 키워서 프로 작가가 되었는지 들려줍니다. 마지막으로, 도서의 마지막에는 저자와의 인터뷰를 통해 성장에 대한 고민과 경험을 엿볼 수 있습니다.","1장 그리는 일이 좋아진다그림을 그리고 싶다! 좋다! 잘 그리고 싶다! 그런 바람이 중요한 원동력입니다. 왜 그리고 싶은지, 왜 좋아하는지, 어떻게 되고 싶은지, 충동의 정체를 깊이 살펴보고 ‘좋다’는 감정과 솔직하게 마주하세요.2장 더 잘 그려보자그림을 좋아한다면, 잔뜩 그려서 실력을 키우자! 그림 실력이 좋아질지 아닐지는 ‘센스’나 ‘노력’의 문제가 아닙니다. 실력을 키우는 방법부터 익혀보세요. 3장 모작/데생가장 강력하고 빠르게 실력을 키우려면 이것이 최고! ‘모작’으로 글을 연습하듯이 좋은 형태를 잘 보고 배우고, ‘데생’의 실물 관찰로 형태의 의미를 이해하면서, 그릴 수 있는 것을 늘려나가세요. 4장 다양한 방법과 성장법지금 하는 연습이 ‘괜한 근육 단련’이 되지는 않았습니까? 성장을 위해서 꼭 해야 하는 것이 있습니다. 우선 즐기는 것! 그리고 목표를 생각할 것! 목표를 정하고, 적합한 연습 방법을 시험해보세요. 5장 프로로서 그림을 그린다는 것만약 프로로 활동한다면 성공을 목표로 하세요. 직업으로 그리고 싶은 사람, 현업에 있는 사람, 혹은 다른 일은 하지만 그림이 취미인 사람. ‘그림을 잘 그리고 싶다’는 이유로 연습한 경험은 중요한 재산입니다.6장 그리는 법을 삶의 방식에 활용한다그림에는 그리는 사람의 사고가 나타납니다. 그림과 마주하는 것은 자신의 인생과 마주하는 것. 더 즐겁게 그리려면, 더 즐겁게 살아가려면 행동하세요."
작고 예쁜 그림의 비밀 100 다이어리 꾸미기부터 캐릭터 디자인까지,천소,0.0점, 0,예술/대중문화,,,어떤 공간에서도 활용 가능한 작고 예쁜 그림들우리의 일상의 공간을 멋지게 꾸밀 수 있는 그림의 비밀을 공개한다. 가장 많이 쓰고 기본이 되는 주제 100가지로 구성되어 있다. 균형 잡힌 그림을 그리기 위한 가이드라인이 있어서 따라하면 누구나 전문가의 솜씨를 뽐낼 수 있도록 만들었다.,"나만의 공간을 예쁘게 꾸미고 싶다일상의 공간을 아름답게 꾸미는 것은 아주 작고 사소한 일이지만 우리에게 종종 사막의 오아시스 같은 기쁨을 줄 때가 있다. 매일 사용하는 평범한 다이어리, 수첩, 탁상달력, 메모지, 편지봉투, 취미로 그리는 그림 등 그냥 내버려두면 아무것도 아니지만 그것을 꾸미게 되면 그건 세상의 어떤 물건과도 다른 특별한 의미를 가지게 되는 것이다.예쁜 공간과 그림을 보는 것은 누구에게나 즐거운 일이다. 그렇기에 그런 꾸미기를 잘할 수 있는 방법을 우리는 찾고 있으며 지금 작가는 그 비밀을 전달하려 한다. 자세히 보면 그냥 보통의 그림 같은데, 아무렇게나 따라 그리면 그런 느낌이 나지 않는다. 그런 이유의 원인은 바로 ‘조화와 균형’에 있다. 아무래도 미술을 전공하지 않은 사람이 무작정 그리는 것은 눈대중과 감에 의존해 그리기 때문에 완성하고 나서 보면 왠지 엉성해 보일 수 있는 것이다.이 책의 그림에는 다양한 형태를 잡아주는 가이드가 있다. 그 가이드를 통해 그림을 배우게 되면 어떤 형태로든 변화 가능한 ‘형태의 기초’를 익히게 되는 것이다. 이를 통해 시간이 지나도 유행이 바뀌어도 변형이 가능한 ‘기초에 충실한 예쁜 그림’ 100가지와 함께 경력자들만이 알고 있는 노하우까지 담겨져 있다. 100가지 그림을 모두 따라 그려 보고 때론 자신만의 스타일로 그려도 보면서 독자들은 점점 전문가와 같은 솜씨를 뽐낼 수 있게 될 것이다."
김락희의 인체 드로잉,김락희,10.0점, 15,예술/대중문화,미술,미술실기/기법,"美 마블 社에서 활약 중인 김락희 작가의 인체 드로잉 핵심 강의!도형화부터 해부학, 동세까지 단계별로 배운다!국내에서 유튜브 드로잉 채널을 운영하면서 드로잉 강의를 하고 있으며 미 마블 사의 애니메이션 캐릭터 작업도 하고 있는 김락희 작가가 드로잉 입문자를 위한 인체 해부학 입문서를 출간하였다. 드로잉을 공부할 때 인체 해부학을 모르고서는 그림의 기본을 다질 수 없으므로 이 책은 인체의 도형화부터 시작해 해부학을 공부하고 동세(動勢)를 단계별로 강의한다. 특히 인체 비례와 균형까지 한눈에 들어와야 한다는 저자의 고집으로 A4 사이즈 가로 크기로 과감하게 판형을 결정하여 보기 드문 해부학 드로잉 입문서를 탄생시켰다.",
스즈키 바이올린 교본 1 Violin Part,세광음악 편집부,0.0점, 0,예술/대중문화,음악,악기/악보집,전 세계의 스즈키 메소드 지도서 <스즈키 바이올린 교본 1>. 이 책은 바이올린을 학습할 수 있는 책으로 바이올린에 대한 기본적인 정보부터 악보까지 모두를 담아낸 바이올린 지침서이다.,
풍경의 깊이 강요배 예술 산문,강요배,6.0점, 2,예술/대중문화,미술,미술실기/기법,"한국 현대미술의 거장, 강요배그의 삶과 예술을 응축한 첫 산문집강요배 작품을 전시하는 갤러리에 들어서면, 우선 압도적인 작품 스케일에 놀라 숨을 멈추게 된다. 그런데 작품에 몰입하기 전부터 관객의 발걸음을 멈춰 세우는 것이 있다. 강요배의 글이다. 작가의 심상을 표현한, 생생하고 강렬한 뜻과 따뜻하고 풍요로운 마음이 담긴 글은 관객이 그 앞에서 오랫동안 서성일 수밖에 없도록 한다. 관람을 마친 관객에게 강요배의 글은 그림만큼 깊은 인상을 남긴다. 하지만 안타깝게도, 한 전시에서 만날 수 있는 강요배의 글은 한두 편에 불과하다. 이 책은 여기서 시작되었다. 강요배의 글을 지속적으로 음미할 수 있는 방법이 없을까. 나아가, 글과 그림을 한데 모아서 오랜 시간 감상할 수 있는 길이 없을까.『풍경의 깊이』는 한국 현대미술의 거장 강요배의 삶과 예술을 응축한 산문집이다. 강요배가 평생 그려 온 2,000여 점의 그림과, 그림에 담긴 뜻을 표현해 온 수많은 글과 말 가운데 독자에게 그 요체를 전할 수 있는 부분을 골라내어 실었다. 강요배는 그림 작업이 “평평한 곳에 몸을 써서 마음을 나타내려는 의지”라고 말했다. 책 역시 납작하고 압축된 공간이지만, 『풍경의 깊이』에는 화가 강요배가 사람·역사·자연을 직면하는 뜨거운 마음, 그가 지닌 오랜 연륜의 흔적, 예술을 향한 깊은 사유의 향이 짙게 배어 있다. 강요배의 정수를 담은 이 책이 품은 그윽한 향기가 독자에게도 전해지길 바란다.","“ 나의 자아는 두 가닥의 회로를 따라 교차하면서 자라난 듯하다.자연과 우주, 사회와 역사로 향하는 두 가닥의 회로. 그 둘이 바람 속에얽혀 있듯이, 그것들을 그림 속에 녹이고 싶다. 그것들은 자아와 사물의끊임없는 대화요, 세계 속에서 중심을 찾아보려 안간힘을 쓰는한 존재의 마음 궤적일 뿐이었다. ”- 「그림의 길」 중에서“어떻든 여기 한 권의 글 모음이 있다.내 인생 45년간의 생각들이다. 결코 짧지 않은 기간에 쓰인, 많지 않은 글들이다.한데 모인 글을 보니 살아온 시간에 따라, 내가 여러 사람의 나로 나뉘는 이상한 기분이 든다.나이 든 내가 청장년의 나를 돌아보게 된다. 젊은 나는 미숙했으나 지금의 나보다 먼저 살았다.젊은 나들이 있었기에 뒤따르는 지금의 내가 있다. 또 달리 보면, 마치 러시아 인형처럼, 어린 나를 속에 안고 삶의 우여곡절 속에서 이를 겹겹으로 둘러싸 온 인격체가 지금의 내가 아닐까 하는 생각이 들기도 한다. 그러기에 지금의 나는 젊은 나들을 긍정하고 존중해야 한다고 생각한다.좋든 나쁘든, 한 화가의 인생에서 펼쳐진, 생각의 여로가 투명 구슬 속처럼 환히 들여다보이는 결과물이 나왔다. 감사하다.” 「서쪽 언덕에서」 중에서생각의 여로를 담은 글과 울림이 있는 그림을 함께 만나는 책화가 강요배는 1988년 《한겨레》 신문 창간을 기념해 소설가 현기영이 연재한 「바람 타는 섬」에 함께할 그림을 그리면서 주목받는다. 〈제주 민중 항쟁사〉 연작은 〈동백꽃 지다〉(1991)라는 한국 미술사의 중요한 작품으로 이어지며, 강요배는 4·3 항쟁의 화가로 불리게 된다. 제주에서 나고 자란 그에게 고향의 역사를 탐구하는 일은 ‘내가 누구인지’를 확인하는 과정이었고, 생존의 지평과 그 복판을 흐르는 인간 뜻을 읽어 내는 문제였다. 초기에 강요배는 역사가 민중에 새긴 고통과 항쟁의 뜨거운 기억을 그림으로 남기는 것을 작품의 주요한 흐름이자 목표로 삼았다. 따라서 ‘내용’에 초점을 두었다. 그림을 통해 아픈 역사가 계속 기억되고 이야기되길 바랐다. 강요배를 필두로 의식 있는 작가와 시민, 유가족이 함께 노력하여 그 결실로 2000년 1월 ‘제주 4·3 사건 진상 규명 및 희생자 명예 회복에 관한 특별법’이 제정 공포되었고, 이에 따라 〈제주 4·3 사건 진상 조사 보고서〉가 채택되었고 대량 학살에 대해 정부가 공식적으로 사과했다. 〈동백꽃 지다〉 이후 1992년 제주로 귀향하여 섬의 바람과 나무를 벗하며 그 땅에 새겨진 이야기에 귀 기울이면서, 강요배 작품은 점차 깊어진다. 그는 작품의 방법론을 치열하게 고민했고, 기억과 시간을 응축한 ‘상’象으로 그림을 그리기에 이른다. 그는 ‘추상’이 “애매모호하게 흐리거나 기하 도형을 반복”하는 것이 아니라 “시간 속에 흘러가는 ‘사건’을, 어떤 기氣의 흐름을 추출하는 것”이라고 말한다. 결국 핵심, 골격을 중시하며 명료화하는 것이 ‘추상’의 진정한 의미라고 주장한다. 동일한 작품 경향을 지속하거나 반복하는 작가도 많지만, 강요배는 끊임없이 연구하고 탐구하며 작품 세계를 변화시키고 발전해 가는 작가다. 삶의 본질을 파고드는 그의 작품은 이제 아픔을 기억하는 데서 나아가 자연을 통한 치유를 고민하고 우리가 지켜야 할 평화를 모색한다. 강요배가 말하듯, 이 책은 “한 화가의 인생에서 펼쳐진, 생각의 여로가 투명 구슬 속처럼 환히 들여다보이는 결과물”이다. 이는 『풍경의 깊이』에 그림뿐 아니라 글로도 오롯이 담겨 있다. 작품을 그리는 시간보다 사유하는 시간이 더 길 때도 많다는 화가 강요배는 1년 또는 다년간의 생각을 글로 정리하며, 그림만으로 충분히 드러나지 않은 자신을 더 확실히 하고자 글을 써 왔다고 한다. 이 책은 강요배를 알아 온 독자에게는 그가 단지 4·3의 화가만은 아니었음을 깨닫게 하고, 그를 잘 모르는 독자에게는 역사와 인간 존재에 관한 강요배의 통찰에 공감하도록 하며 깊은 울림을 줄 것이다. 『풍경의 깊이』는 화가 강요배가 지닌 마음의 풍경, 즉 “세계 속에서 중심을 찾아보려 안간힘을 쓰는 한 존재의 마음 궤적”을 따라가면서 이 땅에 새겨진 시간과 우리가 머무르는 자연을 음미하도록 한다. 그리하여 “모든 사람이 우주의 단독자로서 자연스럽고 편안하게 마음의 무늬”를 그릴 수 있도록 이끈다. 『풍경의 깊이』는 자연과 역사, 민중이라는 주제를 중심으로 오랫동안 삶과 세계를 응시하며 강렬한 필치로 미적 영감을 표현해 온 화가 강요배의 예술 세계를 보여 주는 글 모음이자 그림 모음이며, 사유의 모음이다.사진가 노순택과 화가 강요배,살아남은 두 예술가가 마주 앉은 풍경또한 『풍경의 깊이』에는 사진가 노순택의 강요배 인터뷰가 실려 있다. 노순택은 〈비상국가〉·〈망각기계〉·〈잃어버린 보온병을 찾아서〉 등의 개인전을 통해 한국 근현대사가 보여주는 작동과 오작동의 풍경을 담아낸 한국 대표 사진가다. 비슷한 지점을 응시하고 집중하면서도 조금은 다른 세대를 살아온 두 예술가의 만남과 대화는 한국 예술사의 이정표가 될 만한 사건이다. 노순택은 30여 년 전 학교 앞 작은 책방에서 강요배를 흑백의 작은 엽서로 만났고, 오래지 않아 원작을 인사동의 화랑에서도 만났다. 그리고 오랜 시간이 흐른 뒤 그의 작업을 여러 번 다시 만났다. 어떤 경우에는 강요배의 작업과 노순택의 작업이 같은 벽에 걸렸다. 때로는 두 사람 모두 4·3을 말하고 있었다. ‘회화’와 ‘사진’이라는 다른 방법으로 세계를 표현하는 두 작가에게는 차이점만큼이나 공통점이 많았다. 유신 독재 시대의 현실 인식과 실존 문제에 관해 대화를 나눌 때는 두 사람 모두 눈에 힘을 주었고, “세계와 역사를 묻는 작업은 곧 스스로를 묻는 작업”이라는 이야기를 나눌 때는 공명하며 눈빛을 주고받았다. 또한 강요배가 예술이고 나발이고 결국은 ‘살아남아야 한다’라고 거듭 말할 때, 둘은 함께 웃었다. 30여 년 만에 중견 사진가가 되어 강요배를 만난 노순택은 “4·3 연작을 그리던 마흔 즈음의 강요배와 상처 난 풍경을 탐색하던 쉰 즈음의 강요배, 그려 온 것과 그려야 할 것 사이에서 고민했을 예순 즈음의 강요배, 지금 내 앞에 붉은 얼굴로 앉아 있는 칠순 즈음의 강요배”를 두루 만난 기분이라고 표현했다. 그리고 인터뷰를 끝낸 뒤 귀덕화사歸德畵舍(강요배의 작업실)에서 만난, 마지막 붓질을 기다리며 출렁대고 있는 그의 작품이 “바람에 부서지는 뼈들의 파도”처럼 보인다고 했다. 강요배는 나이가 들면서 좀 어눌해지고 어설퍼지고 잘 잊어버리고 실수도 많이 하면서 생각이 좀 단순해진다고 했다. 젊은 시절에는 온갖 화려한 기법을 동원하는 게 좋았지만, 점점 어수룩하고 소박한 것이 좋아지고 세밀한 것에 대한 집착을 많이 놓게 된다고, 그래서 추사 김정희도 일흔 살이 넘어서야 어린아이처럼 서툰 듯한 글씨체가 나온 거라고 말이다. 그는 자신 역시 아직도 미완인, 만들어지는 과정 속에 있다고 믿는다. 강요배는 말한다. “아직 더 해야 한다. 좀 더 비어 있는 상태로, 좀 더 자유분방하게, 좀 더 부드럽게.” 이미 일흔을 바라보는 화가의 첫 예술 산문집이, 화가 강요배의 미래가 더욱 기대되는 이유다."
김호중 우리 가 악보집,장소라,0.0점, 0,예술/대중문화,음악,악기/악보집,"[미스터 트롯]에서 화제의 중심에 올랐고 '태클을 걸지마', '고맙소'로 시청자들을 감동시켰던 김호중의 첫번째 정규앨범 [우리家]의 수록곡들의 악보와, 싱글/EP 앨범 '살았소'의 악보, 더블 타이틀곡인 만개, 우산이 없어요, INTRO 돛을 올리다의 피아노 연주 버전의 악보 총 17곡이 수록되어진 악보집이다.‘김호중의 인생을 담은 명품 앨범의 악보집을 통해 그의 소리를 다시 만나봅시다!’ '트바로티' 김호중의 이번 앨범은 프로듀서 '알고보니 혼수상태'가 프로듀싱을 맡았고 현재 50만 장 이상 판매가 되고 있어 하프 밀리언셀러로 등극하였다. 전곡 가사와 코드가 기입되어 있어 노래와 악기 연주가 가능하고  피아노 악보의 실제 연주 영상을 볼 수 있는 QR코드가 수록되어있다.  3절까지 만들어진 '홀로아리랑', 오케스트라 버전의 '고맙소' 등 이번 앨범 고유 버전에 맞는 악보가 수록되어 있다.",
서양미술사,에른스트 곰브리치,9.31점, 242,예술/대중문화,예술일반,예술론/예술사,"지금까지 출간된 미술에 관한 가장 유명한 책 중의 하나. 1950년 영국에서 초판이 간행된 이래 전세계에서 서양미술사 개론의 필독서로 자리잡고 있다. 백승길과 이종숭에 의해 번역된 이 책은 1994년에 간행된 16차 개정증보판을 원고로 한 것이다.곰브리치는 이 책을 '자신들의 힘으로 이제 막 미술 세계를 발견한 10대의 젊은 독자들'을 위해 저술했다. 그들은 '유식한 체하는 전문 용어의 나열이나 엉터리 감정들을 재빨리 알아내어 분개할 줄 아는 비평가'들이기 때문이다. 즉 이 책은 미술의 세계에 처음 입문하기 원하는 사람들을 위한 것으로, 쉽고 폭넓고 친절하게 서술되어 있다.서문에 따르면, 이 책을 쓰는 데 지은이가 정한 몇가지 원칙은 다음과 같다. 첫째는 도판으로 보일 수 없는 작품은 가능한 한 언급을 피할 것, 둘째는 진정으로 훌륭한 작품에 대해서만 언급할 것, 세번째는 임의대로 도판을 선정하지 않을 것. 분량은 700페이지에 달하고, 컬러 도판 413개가 실려 있다. 선사시대 동굴벽화부터 오늘날의 실험적인 작품들까지, 각 시대와 양식, 작품과 작가를 알기쉽게 정리하고 있다. 미술의 역사란 과거와의 연관 속에서 미래를 암시하는 각 작품들로 끊임없이 구성되고 변화하는 전통의 역사라는 것이 지은이의 믿음이다. 우리가 살고 있는 이 시대와 이집트에 피라미드가 건설되었던 그 시대가 생생하게 연결되어 있음을 이 책은 보여준다.","이 책은 지금까지 출간된 미술에 관한 가장 유명한 책 중의 하나로서 1950년 영국에서 초판이 간행된 이래 전세계에서 서양미술사 개론의 필독서로 자리잡고 있다. 선사시대 동굴벽화부터 오늘날의 실험적 예술에 이르기까지 모든 주제를 다룬 입문서이며, 이 책을 통하여 세계 전역에 걸친 모든 세대의 독자들은 저자가 해박한 지식과 지혜뿐만 아니라 예술 작품에 대한 깊은 사랑을 겸비한 위대한 대가임을 알 수 있을 것이다. 저자는 미술사를 통틀어 위대하고 뛰어난 작품들을 각 페이지들마다 시대와 양식, 작품명이나 작가들 이름에 따라 알기 쉽게 정리하고 동시에 서양미술의 지적인 질서 체계를 정립하여 보여준다. 이로써 독자들은 미술의 역사가 과거와의 연관 속에서 미래를 암시하는 각 작품들로 끊임없이 구성되고 변화하는 전통의 역사이며, 우리가 살고 있는 이 시대와 피라미드 시대를 이어주는 생생한 연결 고리임을 인식할 수 있게 된다. 이 책은 아직 낯설지만 매혹적으로 보이는 미술이라는 분야에 처음 입문하여 약간의 이론적 훈련을 필요로 하는 사람들을 위하여 쓰여졌다. 그러므로 이 책은 이제 막 미술이라는 세계에 발을 들여놓은 신참자에게 세부적인 것에 휘말려 혼돈됨이 없이 서양미술의 윤곽을 볼 수 있도록 안내한다. 까다롭고 복잡한 인명과 각 시대의 양식들은 알기 쉽게 정리되어 있어 나중에 좀더 전문적인 책을 탐독하는 데에도 커다란 도움이 될 것이다. 곰브리치는 자신의 경험을 통해 전문 용어나 얄팍한 감상의 나열이, 많은 젊은이들로 하여금 평생동안 미술책은 모두 비슷할 것이라는 식의 편견을 심어주는 악습이 되고 있다는 사실을 지적하고 있다. 이러한 함정을 피하기 위해 그는 지나치게 평범하고 비전문적으로 보일 수 있는 위험에도 불구하고 평이한 말을 사용하려고 노력했다. 그러나 다른 한편으로는 난해한 사상들이라 해서 무조건 피하지는 않았으며, 단지 독자들의 이해를 돕기 위해 학술적인 용어의 남용을 경계하고자 했음을 밝히고 있다."
