title,author,score,num_reviewers,main genre,middle genre,subclass,introduction,review
큐티인 2020.11/12   작은글씨,편집부 ,0.0점, 0,잡지,인문/사회/종교,종교,"“수많은 영혼을 구원으로 이끌고, 가정을 중수하고,교회를 새롭게 하는 말씀묵상지, 큐티인” 2012년 창간된 후로 지난 8년간 우리들교회에서 수많은 영혼을 구원으로 이끌고, 깨어진 가정을 중수하며, 교회를 부흥시킨 말씀묵상지 [큐티인]이 2018년 1·2월 호부터 서점에서 판매되고 있습니다. [큐티인]은 큐티엠(큐티선교회)에서 지난 2012년에 창간했던 말씀묵상지입니다. 구속사적 본문해설과 60여 명의 평신도가 집필한 묵상간증 및 다양한 읽을거리를 담은 [큐티인]은 그동안 우리들교회 성도들을 위한 묵상지로 격월간 발행되었으나 해외를 비롯한 외부 정기구독자의 수가 매년 급속히 증가함에 따라 2018년 1,2월 호부터 ‘큐티인 시리즈 4종’을 전국 서점에 시판하게 된 것입니다.  또한 큐티엠(큐티선교회)에서는 장년에서부터 청소년, 어린이, 영유아에 이르기까지 모든 세대가 한 말씀으로 날마다 묵상하는 것을 돕기 위해 2013년에는 [청소년 큐티인]을, 2014년에는 초등학생을 위한 [어린이 큐티인]을 차례로 창간한 바 있으며, 여기에도 청소년과 어린이 필자들의 생생한 묵상간증이 실려 있습니다. 그리고 2016년 1월에는 미취학 아동을 위한 [새싹 큐티인]을 창간하여 전 세대가 같은 말씀으로 묵상하도록 돕고 있습니다. 더불어 영어권에 있는 해외 독자들의 수요가 점점 늘어남에 따라 2019년 9월에는 영문판 [QTin]이 eBook으로 발간되었고, 2020년 1월부터는 종이책으로도 발간되고 있습니다. 다음은 2000년에 큐티선교회(QTM, Quiet Time Movement)를 설립해 말씀묵상을 통해 한 영혼을 구원하고, 가정을 중수하며, 교회를 새롭게 하기 위한 운동을 펼쳐나가고 있는 김양재 목사가 큐티인 시리즈를 서점에 내놓으며 발행인 칼럼을 통해 밝힌 글입니다.",
개역개정 매일성경 2020.11/12   본문수록,성서유니온선교회 편집부,0.0점, 2,잡지,인문/사회/종교,종교,,
큐티인 2020.11/12   큰글씨,큐티인 편집부,0.0점, 0,잡지,인문/사회/종교,종교,,
기도수첩 2020.11,편집부,0.0점, 0,잡지,인문/사회/종교,종교,,
과학소년 2020.11,과학소년 편집부,0.0점, 0,잡지,자연/공학,자연과학,,
"2,000원으로 밥상 차리기 2020.11",이밥차 편집부,0.0점, 0,잡지,여성/패션/리빙,,,
여성조선 2020.11,편집부,0.0점, 0,잡지,여성/패션/리빙,,[부록 사진]셀로니아 미니어처 3종 키트,
우먼센스 2020.11  ,서울문화사 편집부,0.0점, 0,잡지,여성/패션/리빙,,"[부록 사진]네이처리퍼블릭 퓨어라벨 어드밴스드 핸드 세니타이저 겔 플러스 / 500ml / 15,800원",
싱글즈 Singles B형 2020.11  ,편집부,0.0점, 1,잡지,여성/패션/리빙,여성/패션,1) 부록: 뮤테누토 베르쇠즈 모이스처라이징 세럼(50ML)2) 주요기사 : 몬스타엑스 형원&아이엠,
생명의 삶 2020.11 (개역개정판.새찬송가),생명의삶 편집부,0.0점, 0,잡지,인문/사회/종교,종교,『생명의 삶』은 신구약 성경 전체를 묵상할 수 있도록 편집한 월간지다.,
개역개정 매일성경 2020.11/12   큰글본문,매일성경 편집부,0.0점, 0,잡지,인문/사회/종교,종교,,
지큐 GQ Korea 2020.11 표지 : 남주혁 (3종중 1종 랜덤발송),두산매거진 편집부,0.0점, 0,잡지,여성/패션/리빙,여성/패션,※ 합본호에는 특별부록이 없음을 알려드립니다.,
맥심 Maxim A형 2020.11 표지 : 모델 김빛나라,MAXIM 편집부,0.0점, 0,잡지,예술/대중문화,방송/연예,"MAXIM KOREA  2020년 11월호 맥심 한국판 통권 210호 209호 특집 <페티시> 표지 : 김빛나라 특별 부록1. 책속부록: 초대형 양면 브로마이드",
매일성경 순 2020.11/12  ,매일성경 편집부,0.0점, 0,잡지,인문/사회/종교,종교,,
보그 Vogue Korea A형 2020.11 (표지 : G-DRAGON) 표지 : G-DRAGON,두산매거진 편집부,0.0점, 1,잡지,여성/패션/리빙,여성/패션,* 합본호에는 특별부록이 없음을 알려드립니다.,
시어터플러스 Theatre+ 2020.11 표지 : 카이,시어터플러스 편집부,0.0점, 0,잡지,예술/대중문화,영화/공연,"당신의 삶에 공연과 문화를 더하는 월간지, THEATRE+월간 시어터플러스는 국내 주요 공연장과 문화, 예술을 즐기는 관객의 가교 역할을 담당하는 공연 문화 전문 매거진입니다. 국내 주요 공연장, 호텔, 갤러리, 카페 및 레스토랑에서 만나볼 수 있습니다. 또한 문화와 예술을 사랑하는 애독자들을 위한 정기구독 회원제를 운영하고 있습니다.",
위즈키즈 2020.11,편집부,0.0점, 0,잡지,어학/교육,아동학습,,
청소년 매일성경 2020.11/12  ,매일성경 편집부,0.0점, 0,잡지,인문/사회/종교,종교,,
어린이 과학동아 Vol.21   2020.11.01,과학동아 편집부,0.0점, 6,잡지,어학/교육,아동학습,,
여성동아 A형 2020.11,동아일보사편집부,0.0점, 0,잡지,여성/패션/리빙,,"부록 1. 센텔리안24 마데카 바이탈 캡슐 세럼(50ml)",
초등 독서평설 2020.11 초등3학년~6학년,지학사 편집부,10.0점, 1,잡지,어학/교육,아동학습,,11월호 인터뷰의 주인공 김승주 항해사님이 친구들을 바다로 초대했어요! 바다에서의 삶은 어떤 모습일지 만나 봐요.
톱클래스 topclass 2020.11 (표지 : 미스터트롯 이찬원) 표지 : 이찬원,톱클래스 편집부,0.0점, 0,잡지,인문/사회/종교,경제/경영,1) 표지: 이찬원,
어린이 큐티인 2020.11/12  ,큐티인 편집부,0.0점, 0,잡지,인문/사회/종교,종교,,
맥심 Maxim B형 2020.11 표지 : 모델 김빛나라,MAXIM 편집부,0.0점, 1,잡지,예술/대중문화,방송/연예,1) 부록: 초대형 양면 브로마이드2) 표지: 모델 김빛나라,
새싹 큐티인 2020.11/12  ,QTM 편집부,0.0점, 0,잡지,인문/사회/종교,종교,,
