title,author,score,num_reviewers,main genre,middle genre,subclass,introduction,review
마라나타 첫 번째 일곱교회 이야기,소향,0.0점, 0,종교,기독교(개신교),,"이 책은 저자가 오랜 연구와 묵상 끝에 완성한 요한계시록에 등장하는 일곱교회에 대한 해설이다.  저자는 오늘날 세속화된 교회, 크리스찬의 신앙적 무기력 증에 대한 처방책으로 계시록의 일곱교회 이야기를 제시한다. 서신의 난해함으로 인해 신학자나 목회자도 쉽게 접근하기 어려워 하는 것이 계시록이다. 그 모호성으로 인해 이단들은 계시록을 거짓 해석해 사람들을 미혹하기도 한다.  소향은 작가 서문에서 성령의 도움을 의지해 두렵고 떨림으로 이 글을 써내려갔다고 말한다. 그녀는 지금과 같은 세속화되고 신앙적 무력함이 일상이 되버린 시대에 계시록이라는 어려운 처방을 들고 나왔다.  마라나타 1권에서는 계시록 일곱교회 중 에베소, 서머나, 버가모, 두아디라 교회에 대한 소향의 해석이 실려 있다. 성경 배경 지식과 원어 그리고 성령의 영감으로 이어지는 한 순례자의 글을 읽다 보면 어렵기만 했던 계시록에 숨어 있는 하나님의 사랑을 발견할 수 있을 것이다.     “교회는 세상을 책임지는 존재다. 교회 안의 사람 곧 성도가 중요한 이유는 그들의 품는 마음과 생각으로 인해 세상을 멸하기도 세상을 세우기도 하기 때문이다. 그래서 교회에서 살아가고 있는 성도의 마음의 상태는 세상에 매우 중요한 영향력을 미치게 된다.” (_ 본문 중에서)","이 책은 저자가 오랜 연구와 묵상 끝에 완성한 요한계시록에 등장하는 일곱교회에 대한 해설이다.  저자는 오늘날 세속화된 교회, 크리스찬의 신앙적 무기력 증에 대한 처방책으로 계시록의 일곱교회 이야기를 제시한다. 서신의 난해함으로 인해 신학자나 목회자도 쉽게 접근하기 어려워 하는 것이 계시록이다. 그 모호성으로 인해 이단들은 계시록을 거짓 해석해 사람들을 미혹하기도 한다. 소향은 작가 서문에서 성령의 도움을 의지해 두렵고 떨림으로 이 글을 써내려갔다고 말한다. 그녀는 지금과 같은 세속화되고 신앙적 무력함이 일상이 되버린 시대에 계시록이라는 어려운 처방을 들고 나왔다. 마라나타 1권에서는 계시록 일곱교회 중 에베소, 서머나, 버가모, 두아디라 교회에 대한 소향의 해석이 실려 있다. 성경 배경 지식과 원어 그리고 성령의 영감으로 이어지는 한 순례자의 글을 읽다 보면 어렵기만 했던 계시록에 숨어 있는 하나님의 사랑을 발견할 수 있을 것이다.     “교회는 세상을 책임지는 존재다. 교회 안의 사람 곧 성도가 중요한 이유는 그들의 품는 마음과 생각으로 인해 세상을 멸하기도 세상을 세우기도 하기 때문이다. 그래서 교회에서 살아가고 있는 성도의 마음의 상태는 세상에 매우 중요한 영향력을 미치게 된다.” / 본문 중에서 이런 분들에게 추천합니다!o 영적 성숙을 갈망하는 분들에게o 계시록에 대해 궁금했던 분들에게"
문학은 어떻게 신앙을 더 깊게 만드는가 시와 소설과 그리스도인,이정일,0.0점, 4,종교,,,"지금 한국 교회엔 문학이 필요하다문학을 통해 세상과 인간을 이해하고 공감하면하나님을 아는 지식이 풍성해지고 신앙이 깊어진다!문학이 우리의 삶에 새로운 눈을 뜨게 하고 생각을 싹을 틔움으로써 신앙생활을 윤택케 하는 통찰을 배울 수 있음을 들려주는 에세이. 문학이 없다고 신앙생활이 불가능하진 않지만, 문학을 통해서 생각의 빈곤과 삶에 둔감했던 자신을 일깨움으로써 더 깊은 눈으로 하나님을 바라보고 경험하도록 이끄는 힘이 있다. 이 책에서는 답답하고 힘들 때마다 영감을 주고 평생 친구가 된 문학 속 문장들을 소개하면서 성숙한 신앙 아래도 흐르는 거대한 문학의 강물을 경험하도록 이끌어 준다.","문학을 알수록 하나님이 보인다‘성경에 답이 있다’는 말씀에 공감하지 않는 그리스도인은 없을 것이다. 하지만 이 말씀을 삶에서 온전히 경험하는 이는 많지 않은 것 같다. 성경을 해석해 내지 못하고 깨닫지 못하기 때문이다. 보화 같은 성경도 해석할 수 있는 눈이 없다면 온전히 하나님을 알기 어렵다.반대로 문학을 모른다고 해서 신앙생활에 문제 될 것은 없다. 하지만 문학을 알면 자신의 삶을 성찰하고 하나님을 더 깊이 알게 된다. 문학작품을 통해 생각의 자극을 받고 등장인물을 통해 인생이 뭔지 깨닫게 된다. 이로 인해 다양한 통찰과 관점으로 성경을 보고 우리가 미처 몰랐던 하나님의 성품을 발견하게 된다.이 책은 저자의 삶에 영감을 주었고 평생 친구가 되었던 문장들을 통해 자신의 삶을 성찰하고 하나님을 더 깊이 알게 해준 한 문장, 한 편의 시를 들려준다. 또 하나님이 주신 최고의 선물인 문학이 어떻게 생각을 자극했으며 더 깊은 신앙으로 나아갈 수 있었는지 들려준다.  성경이 아니라 일상에 밑줄을 그어라2020년 코로나19로 인해 많은 성도가 교회를 빠져나갔고 하고 다시 회복하기 힘들지도 모른다는 염려가 퍼지고 있다. 여기에 많은 원인이 있겠지만, 평소 교회와 성도가 삶을 성찰하고 위기에 대처하는 법을 배우지 않은 탓도 크다. 교회 안팎에서 문제가 생기고 위기가 닥칠 때마다 실수를 인정하고 아픔을 공감하며 문제를 성찰하기보다 그냥 덮기만 하려 했기 때문이 아닌가 싶다. 그리스도인들이 저지르는 가장 큰 실수는 자신의 진짜 모습을 애써 외면하며 침묵하는 것 아닐까. 읽는 대상으로서의 성경만 중요한 것이 아니라 말씀대로 살아가는 일상도 중요하다는 것이 절실해졌다. 성경에 대해 잘 아는 것만큼 말씀대로 살아가는 삶이 되어야 한다. 삶의 일상은 성경처럼 하나님이 우리에게 주신 텍스트다. 이 일상과 성경이라는 두 텍스트를 잘 연결시킬 수 있어야 인생을 제대로 살 수 있다. 그리고 이 일상이라는 텍스트는 바로 문학이다. 만약 문학 속 메시지를 해석할 수 있다면 지금 우리가 살아가는 이 평범한 일상도 하나님이 얼마나 섬세하게 살피고 계신지 깨달을 수 있게 될 것이다.저자는 다양한 문학작품 가운데서 얻어낸 통찰이 우리의 삶과 하나님을 어떻게 연결시켜 주는지 세세히 사례를 들어 이야기한다. 무엇보다 우리가 경험하지 못한 일상을 문학 속에서 얻어내고 그 가운데 하나님을 발견할 수 있도록 우리를 이끌어 간다. 문학을 읽어야 할 이유성경을 읽을 땐 성경 속 인물들을 통해 우리의 시야가 깊어지는데, 마찬가지로 문학을 읽을 때에는 작품 속 인물들을 통해 우리의 시야가 넓어진다. 즉 우리가 협소한 상식에 갇혀 있었다는 것을 깨닫게 해주는 것이다. 문학은 허구이든 진실이든 거기에 담긴 삶을 통해 우리가 변해가는 모습을 입체적으로 볼 수 있을 뿐만 아니라 경험하지 못할 인생의 본질과 성장을 경험할 수 있게 해준다.이처럼 문학을 읽어야 하는 이유는 차고 넘치지만 특별히 그리스도인들에게는 더더욱 소중하다. 문학이 굳어진 우리의 생각을 흔들어 깨우고 부드러운 사고를 배우게 하며, 다른 사람들이 들려주는 답이 아닌 자신만의 답을 찾도록 이끌어준다. 혹자는 문학이 쓸모없다고 생각하지만 하나님은 문학을 통해서도 우리에게 진실을 파악하는 법을 가르쳐 주시고 당신의 놀라운 계획들을 들려주신다. 그래서 문학은 하나님의 놀라운 선물이다.이 책에서는 저자의 신앙과 삶을 지탱하게 해준 자양분 같은 많은 문학작품을 소개하고, 그것들이 어떻게 신앙을 더 단단하게 만들었는지 보여준다. 문학에세이로서 이 책을 읽는 독자들은 저자가 소개하는 문학 속 문장들을 통해서도 매 페이지마다 위로와 쉼을 얻게 될 것이다."
5가지 사랑의 언어,게리 채프먼,8.52점, 345,종교,기독교(개신교),,사랑의 언어로써 가정을 지키다  성경에서 여성과 남자는 결혼해서 가정을 이루고 살아야 한다고 가르친다. 결혼은 결코 깰 수 없는 신성한 약속이다. 그런데 현대 사회에서 이혼이 정상적인 현상으로 변해가고 있다. 이런 상황에서 여성과 남자는 어떻게 행동해야 하는가. 『5가지 사랑의 언어』는 배우자들이 상호간 소통할 수 있는 방법을 알려 준다.   남편은 격려의 말을 듣고 싶어한다. 그러나 아내는 말없이 맛있는 저녁식사를 준비해 남편을 격려하려고 한다. 두사람은 서로 사랑하지만 그들의 사랑의 감정은 잘 전달되지 못했다. 그 이유는 무엇일까? 사람마다 사용하는 사랑의 언어가 다르기 때문이다. 진정으로 배우자와 사랑을 나누기 원한다면 배우자가 사용하는 사랑의 언어를 알아야한다. 배우자의 사랑의 언어를 발견하고 배우려 할 때 행복한 결혼 생활의 문은 열릴 것이다.  ,"사랑하지만 언어가 다른 두 사람.사랑하는 마음이 전달되지 못하고 오히려 오해와 상처가 쌓인다.심한 경우는 결별에 이르기까지 한다.사랑하지 않기 때문이 아니라 사랑이 소통되지 않기 때문이다.5가지 사랑의 언어를 이해하면 이 문제를 풀 수 있다. 『5가지 사랑의 언어』는 2001년 출간 후 지금까지 꾸준히 사랑받고 있는 스테디셀러다.  저명한 기독교 상담가이며 결혼 생활 세미나 인도자로 40여년 이상 부부들을 위한 상담 사역을 해오고 있는 저자 게리 채프먼 박사는 많은 부부들의 실례를 들어가며 사랑의 언어에 대해 이야기한다. 인정하는 말, 함께하는 시간, 선물, 육체적인 접촉, 봉사가 바로 사랑의 다섯 가지 언어다. 사람마다 제1의 사랑의 언어는 달라서, 이 사랑의 언어가 틀릴 경우 서로 사랑하고 있음에도 상대가 사랑을 알지 못할 수 있다(제1의 사랑의 언어를 똑같이 공유하고 있는 남편과 아내는 거의 없다). 서로 사랑의 언어가 틀린 부부들의 실례를 봄으로서 흥미진진하게 이야기에 빨려 들어갈 수 있으며 비단 부부, 연인들뿐만이 아닌 자신의 주위사람과의 관계에 대해 돌아보게 될 것이다. 저자가 이야기하는 5가지 사랑의 언어를 이해하고 상대방의 제1의 사랑의 언어로 구사하는 것을 배우게 되면 상대방의 행동에 즉각적인 변화가 나타날 것이다.지속적인 사랑의 결혼 생활을 이끌어 가는 열쇠를 발견할 수 있을 뿐만 아니라 자신과 관계를 맺고 있는 모든 사람과 원활하면서도 바람직한 관계를 유지, 발전시킬 수 있도록 돕는 책이다. 내용이 어렵지 않고 실생활에서 바로 적용해 효과를 얻을 수 있는 유익한 책으로  선물용 도서로도 손색이 없다."
내 마음대로 된 것이 하나도 없었다 변하지 않는 나를 끝까지 포기하지 않으시는 하나님의 은혜,홍민기,0.0점, 1,종교,,,"“주님은 지금도 나에게 사랑을 낭비하고 계신다!!”은혜받아도 다시 세상으로 달려가고 욕심 때문에 잔꾀 쓰던 야곱이 바로 나였다! 이런 분들에게 추천합니다ㆍ 최선을 다했지만 돌아보면 뜻대로 된 것이 없어 실망한 분ㆍ 자꾸만 같은 죄를 짓고, 변하지 않는 내 모습에 낙심한 분ㆍ 신앙이 자라지 않고 제자리에 정체되어 있다고 느끼는 분ㆍ ‘나의 하나님’을 만나 함께하심의 확신을 얻기 원하는 분ㆍ 주님의 은혜를 경험했지만 기도보다 늘 내 생각이 앞서는 분","성경에 수많은 인물이 나오지만 그중에서도 야곱은 특별하다. 태아 때부터 임종까지 기록된 드문 경우에다가 하나님이 선택하신 민족이 믿음의 조상인 할아버지가 아니라 야곱이 받은 새 이름으로 불린다. 그런데 이 특별한 사람 야곱이 본받을 만한 인품의 소유자는 아니었다. 속이고 빼앗고, 좀 나아졌나 싶었는데 또다시 거짓말하는 등 오히려 비호감에 가까웠던 그는 어떻게 그런 특별한 은혜를 입을 수 있었을까. 우리 쪽에서는 답도 이유도 없다. 아무것도 안 했는데 자꾸만 축복받고 은혜 입는 야곱의 이야기는 실상 야곱이 아니라 하나님의 이야기다. 받을 자격도 이유도 없는 자에게 사랑을 ‘낭비하듯’ 거듭거듭 주시는 하나님의 이야기다. 그 수혜자는 모태에서 임종 사이 어딘가에 속한 모든 ‘인간 야곱’이다. 저마다 죄와 실수와 약점을 지니고 호감과 비호감을 넘나드는, 그리고 ‘하나님의 자녀’와 ‘성도’라는 새 이름을 얻은 모든 바로 우리 모두다.비대면의 시대, 당신은 어디 있는가. 아직 ‘나의 하나님’을 만나지 못한 벧엘, 라반의 양을 치는 밧단 아람, 인생의 난제로 하나님과 씨름하는 얍복 강가, 다시 내 꾀를 좇아서 간 숙곳 그 어디든 그곳에서 야곱과도 같은 자신의 존재를 인정하고 하나님을 대면하라. 야곱의 약점들과 그가 받은 무한한 하나님의 사랑에서 예외인 인생은 없다. 당신도 나도."
내가 너를 아노라 김양재 목사의 큐티노트 요한계시록 1,김양재,0.0점, 2,종교,,,"“이 혼돈과 박해의 때에 심판의 소식,구원의 소식을 듣는 것만큼큰 축복은 없습니다.”“혼돈과 박해의 때를 사는 우리에게 주시는 주님의 사랑의 편지!”우리들교회 김양재 목사의 큐티노트 요한계시록 1권이 출간되었습니다. 이 책은 요한계시록 1장부터 4장까지의 말씀을 다루고 있으며, 이 땅에서의 환난의 의미와 진정한 복이 무엇인지 이야기합니다. 또한, 소아시아 일곱 교회를 향한 칭찬과 책망의 말씀을 통해 오고 가는 모든 교회에 주시는 주님의 메시지를 담고 있습니다.요한계시록은 사도 요한이 밧모섬에 유배되었을 때 하나님의 계시를 기록한 소망의 책입니다. 요한계시록이 기록된 당시는 로마의 도미티아누스 황제가 통치하던 때로서 기독교가 역사상 가장 극심한 박해를 받은 시기였습니다. 요한계시록이 이해하기 어려운 이유도 여기에 있습니다. 그래야 로마가 이 계시를 못 알아듣기 때문입니다. 이단들도 그렇습니다. 계시록 말씀을 예수 그리스도의 계시로 못 알아듣고 이해하지 못하니까 자기가 계시의 주인공인 양 마음대로 해석합니다.저자인 김양재 목사는 코로나와 같은 전염병으로 온 세상이 흉흉한 지금처럼, 혼돈과 박해의 때일수록 계시록 말씀을 잘 분별해야 한다고 말합니다. 요한계시록을 오늘 나에게 주시는 음성으로 듣는다면 여느 책과 다름없이 쉽게 이해할 수 있다고 말합니다.또한 예수를 믿어도 아직 말씀이 들리지 않는 사람, 지금 내가 당하는 고난이 이해되지 않는 사람이 있다면 이 책을 통해 그리스도의 계시에 귀를 기울이기를 바란다고 이야기합니다. 이 혼돈과 박해의 때에 심판의 소식, 구원의 소식을 듣는 것만큼 큰 축복은 없기 때문입니다. 독자들이 김양재 목사의 큐티노트 요한계시록 1 『내가 너를 아노라』를 통하여 복과 환난의 진정한 의미를 깨닫고, 나의 모든 것을 다 아시는 하나님 안에서 실상 부요한 성도가 되기를 소원합니다.",
쓰담쓰닮 잠언 (개역개정) 햇살콩 필사묵상노트,햇살콩,0.0점, 1,종교,기독교(개신교),,"말씀이신 주님을, 손으로 새기고 마음에 담고온전히 닮아가는 시간쓰고 담으세요!한 구절 한 구절 천천히 읽고 필사하면서 하나님 말씀을 마음에 담으세요.쓰고 닮아가세요!정성껏 새기며 깊이 묵상할 때내 삶에 말씀이 숨쉬고 그분을 닮아가는 은혜가 깃듭니다.쓰담쓰닮하나님의 말씀이 당신을 위로하고 삶에 등불이 됨을 경험하십시오.","말씀이신 주님을, 손으로 새기고 마음에 담고온전히 닮아가는 시간쓰고 담으세요!한 구절 한 구절 천천히 읽고 필사하면서 하나님 말씀을 마음에 담으세요.쓰고 닮아가세요!정성껏 새기며 깊이 묵상할 때내 삶에 말씀이 숨쉬고 그분을 닮아가는 은혜가 깃듭니다.필사묵상노트 활용법쓰담쓰닮하나님의 말씀이 당신을 위로하고 삶에 등불이 됨을 경험하십시오.◇ 말씀을 천천히 소리 내어 읽으며 적어보세요.◇ 캘리그라피를 따라 쓰며 말씀을 마음에 새기세요.◇ 마음에 남는 구절과 하나님이 부어주시는 마음을 ‘나의 묵상’ 공간에 기록하세요.◇ 햇살콩 묵상과 일러스트를 보며 잠잠히 묵상하는 시간을 가지세요.◇ 필사 시작과 마무리를 기도로 열고 닫으며 받은 은혜를 다른 이에게도 흘려보내세요"
초롱이는 하나님바라기 4.7만 팔로워와 하나님의 마음을 나누는 초롱이의 묵상 웹툰,김초롱,0.0점, 2,종교,,,"존재만으로 사랑스러운 사람웹툰으로 하나님의 사랑을 전하는 청년, 초롱저자는 낙심하고 좌절할 때가 더 많은 보통의 크리스천 청년의 입장에서 그들이 겪는 다양한 신앙적 감정과 갈등, 고민을 함께 나누며 청년들의 이야기에 공감하고 소통한다. 그러나 어려움 가운데서도 하나님을 바라봄으로 다시 말씀으로 살아내는 믿음의 고백을 친근감 있는 캐릭터를 통해 편안하게 웹툰으로 풀어냈다. 우울증으로 죽음 앞에 섰을 때 자신의 손을 잡아주신 하나님, 남의 빚을 대신 갚아야 했던 3년을 하나님의 소원을 들어준 시간으로 고백할 수 있었던 집사님과의 대화, 선교 현장에서 경험한 풍성하신 하나님 등 삶 속에서 사랑으로 위로와 소망을 주시는 하나님을 함께 만날 수 있다. 4.7만 팔로워와 나누는 김초롱 작가의 하나님 사랑 이야기는 하루를 살아도 하나님을 더욱 가까이하며 친밀해지길 바라는 우리의 마음과 하나님을 바라는 소망을 품게 한다. 나아가 하나님의 따뜻한 품에 언제나 달려가 안길 수 있고, 우리를 거절하지 않으신다는 하나님의 사랑을 전해 주는 책이다.","존재만으로 사랑스러운 사람웹툰으로 하나님의 사랑을 전하는 청년, 초롱저자는 낙심하고 좌절할 때가 더 많은 보통의 크리스천 청년의 입장에서 그들이 겪는 다양한 신앙적 감정과 갈등, 고민을 함께 나누며 청년들의 이야기에 공감하고 소통한다. 그러나 어려움 가운데서도 하나님을 바라봄으로 다시 말씀으로 살아내는 믿음의 고백을 친근감 있는 캐릭터를 통해 편안하게 웹툰으로 풀어냈다. 우울증으로 죽음 앞에 섰을 때 자신의 손을 잡아주신 하나님, 남의 빚을 대신 갚아야 했던 3년을 하나님의 소원을 들어준 시간으로 고백할 수 있었던 집사님과의 대화, 선교 현장에서 경험한 풍성하신 하나님 등 삶 속에서 사랑으로 위로와 소망을 주시는 하나님을 함께 만날 수 있다. 4.7만 팔로워와 나누는 김초롱 작가의 하나님 사랑 이야기는 하루를 살아도 하나님을 더욱 가까이하며 친밀해지길 바라는 우리의 마음과 하나님을 바라는 소망을 품게 한다. 나아가 하나님의 따뜻한 품에 언제나 달려가 안길 수 있고, 우리를 거절하지 않으신다는 하나님의 사랑을 전해 주는 책이다."
햇살콩 말씀 365,김나단,0.0점, 1,종교,기독교(개신교),,〈햇살콩 말씀 365〉는 매일 하나님의 말씀을 묵상할 수 있도록성경 말씀을 중심으로 《하나님의 때》와 《하나님의 선물》의 은혜로운 내용을 발췌 수록했습니다.,
,,,,,,,,
,,,,,,,,
