title,author,score,num_reviewers,main genre,middle genre,subclass,introduction,review
EBS 수능완성 영어영역 영어 (2020년) 2021학년도 수능 연계교재,EBS(한국교육방송공사),10.0점, 3,학습/참고서,,,"2021학년도 대학수학능력시험 연계율 70%!서울 소재 대학교에 진학한 선배들 중 정시 98%, 수시 92.4%가 선택한 EBS 수능완성!*합격한 선배들이 데이터로 입증한 연계교재 'EBS 수능완성'의 힘12월 3일 수능, 직접 느낄 수 있습니다. 1. [유형편]으로 영역별 유형 이해를 점검2015 개정 교육과정 첫 수능에 맞추어 영역별 기본적으로 알아 두어야 할 출제 유형을 풀어 보며 스스로 취약한 문제 유형이 무엇인지 쉽게 파악할 수 있습니다. 자세한 유형 설명과 정답 해설로, 보다 정확한 유형 이해가 가능합니다.2. [실전편]으로 실전 능력 UP최근 대학수학능력시험 및 모의평가 문항을 철저하게 분석하여 실전과 가장 가까운 문항을 수록하였습니다.실전처럼 구성된 ""5회분의 실전 모의고사""로 실전 감각을 키울 수 있습니다. +기출로 부족한 2015 개정 교육과정 첫 수능!실전 학습이 더 필요하다면 〈EBS 모의고사 시리즈〉를 만나보세요.① FINAL 실전모의고사 (5월 출시)② 만점마무리 봉투모의고사 (7월 출시)③ 고난도 시크릿X 봉투모의고사 (9월 출시)흔들리지 않는 수능 자신감, EBS가 함께합니다.*설문 결과: 서울 소재 대학생 1000명 대상 설문조사 (한국리서치, 2019)",
매3비 매일 지문 3개씩 푸는 비문학 독서 수능 기출 2021 수능 국어 영역 대비,안인숙,0.0점, 0,학습/참고서,고등학교,수능문제집,"#해설도 예술이다 #믿고 보는 매3시리즈#어느새 실력이 쑥~ #역시 매3! #매3시리즈는 진짜 좋은#과연 스테디셀러~ #소문 듣고 딸에게 사 준 교재2021학년도 수능 국어 영역 대비 매3비(매일 지문 3개 푸는 비문학 독서 수능 기출)는 2019년에 실시된 2020학년도 수능과 6월, 9월 모의평가를 모두 반영하여 만들었다. 2020학년도 수능 국어 영역을 꼼꼼히 분석한 결과, 2021학년도 수능 국어 영역 대비서로도 수능 기출 문제와 고3 6월과 9월 모의평가가 바이블이었다. 중요한 것은 좋은 문제라고 해서 들입다 문제만 푼다고 성적이 오르지는 않는다는 것. 국어 영역의 경우는 특히 ‘제대로’ 공부법이 중요한데, ‘제대로’ 공부법의 핵심은 〈매3비〉가 알려 주고, 〈매3비〉에서 강조하는 공부법을 좇아 공부하면 비문학 독서 부문은 물론 다른 영역의 공부 습관까지 바꾸어 줄 것이다.최상위권 학생들의 실수까지도 줄여 주는 공부법이 결합된 〈매3비〉. 〈매3비〉는 단순히 기출 문제를 묶어 놓은 문제집이 아니다. 다 같은 기출이라도 제대로 공부하고 제대로 훈련할 수 있도록 매일 지문 3개씩을 풀게끔 가장 효과적인 학습법과 접목해 구성하였고, 복습 방법 및 채점법, 시간 관리까지 가능하도록 특수 편집하였다. 기출 문제도 어떻게 공부하느냐에 따라 그 학습 효과는 크게 달라지기 때문이다. 한편, 〈매3비〉는 일반적인 정답 해설지가 아니다. 저자가 그동안 가장 많이 질문을 받았던 문제와 답지, 그리고 문제 해결력과 공부법까지 고려하여 왜 그 오답지에 답했고 무엇을 모르고, 어느 부분을 놓쳐 틀렸는지를, 그리고 2021학년도 수능 대비를 위해 꼭 새겨야 할 내용까지 학생들의 질문에 답하듯이 해설을 썼다. 특히 ‘2021 매3비’에서는 해설을 전면 업그레이드하면서, 학생들이 재질문한 내용 중 챙겨 보면 도움이 되는 ‘Q&A;’를 강화하였고, 모르고 지나칠 수 있는 설명 속 어휘까지 ‘매3어휘 풀이’를 적용하여 쉽게 풀이하였으며, 지문 이해를 돕는 ‘독해력을 길러 주는 지문 분석’ 에서는 최대한 도식화하고 도표화하여 문제 해결력과 독해력을 키울 수 있도록 하였다. 국어 영역 고득점의 관건인 독해력을 길러 주는 ‘지문 분석법’과 독해력 향상에 걸림돌이 되는 ‘어휘력‘까지 한번에 해결할 수 있게 구성한 것이다.아울러 2021 매3비에서도 오답 노트 덕분에 수능 시험에서 국어 100점을 맞았다며 자신의 오답 노트를 공유한 선배가, 후배들의 질문을 보고 ‘2021 매3비’를 직접 푼 후 누구나 쉽게 따라 할 수 있고 공부 효과를 높일 수 있게 다시 작성한 ‘매3 오답 노트’를 공유하였다.","#해설도 예술이다 #믿고 보는 매3시리즈#어느새 실력이 쑥~ #역시 매3! #매3시리즈는 진짜 좋은#과연 스테디셀러~ #소문 듣고 딸에게 사 준 교재2021학년도 수능 국어 영역 대비 매3비(매일 지문 3개 푸는 비문학 독서 수능 기출)는 2019년에 실시된 2020학년도 수능과 6월, 9월 모의평가를 모두 반영하여 만들었다. 2020학년도 수능 국어 영역을 꼼꼼히 분석한 결과, 2021학년도 수능 국어 영역 대비서로도 수능 기출 문제와 고3 6월과 9월 모의평가가 바이블이었다. 중요한 것은 좋은 문제라고 해서 들입다 문제만 푼다고 성적이 오르지는 않는다는 것. 국어 영역의 경우는 특히 ‘제대로’ 공부법이 중요한데, ‘제대로’ 공부법의 핵심은 『매3비』가 알려 주고, 『매3비』에서 강조하는 공부법을 좇아 공부하면 비문학 독서 부문은 물론 다른 영역의 공부 습관까지 바꾸어 줄 것이다.최상위권 학생들의 실수까지도 줄여 주는 공부법이 결합된 『매3비』. 『매3비』는 단순히 기출 문제를 묶어 놓은 문제집이 아니다. 다 같은 기출이라도 제대로 공부하고 제대로 훈련할 수 있도록 매일 지문 3개씩을 풀게끔 가장 효과적인 학습법과 접목해 구성하였고, 복습 방법 및 채점법, 시간 관리까지 가능하도록 특수 편집하였다. 기출 문제도 어떻게 공부하느냐에 따라 그 학습 효과는 크게 달라지기 때문이다. 한편, 『매3비』는 일반적인 정답 해설지가 아니다. 저자가 그동안 가장 많이 질문을 받았던 문제와 답지, 그리고 문제 해결력과 공부법까지 고려하여 왜 그 오답지에 답했고 무엇을 모르고, 어느 부분을 놓쳐 틀렸는지를, 그리고 2021학년도 수능 대비를 위해 꼭 새겨야 할 내용까지 학생들의 질문에 답하듯이 해설을 썼다. 특히 ‘2021 매3비’에서는 해설을 전면 업그레이드하면서, 학생들이 재질문한 내용 중 챙겨 보면 도움이 되는 ‘Q&A;’를 강화하였고, 모르고 지나칠 수 있는 설명 속 어휘까지 ‘매3어휘 풀이’를 적용하여 쉽게 풀이하였으며, 지문 이해를 돕는 ‘독해력을 길러 주는 지문 분석’ 에서는 최대한 도식화하고 도표화하여 문제 해결력과 독해력을 키울 수 있도록 하였다. 국어 영역 고득점의 관건인 독해력을 길러 주는 ‘지문 분석법’과 독해력 향상에 걸림돌이 되는 ‘어휘력‘까지 한번에 해결할 수 있게 구성한 것이다.아울러 2021 매3비에서도 오답 노트 덕분에 수능 시험에서 국어 100점을 맞았다며 자신의 오답 노트를 공유한 선배가, 후배들의 질문을 보고 ‘2021 매3비’를 직접 푼 후 누구나 쉽게 따라 할 수 있고 공부 효과를 높일 수 있게 다시 작성한 ‘매3 오답 노트’를 공유하였다.  믿고 보는 매3시리즈 결과로 보답하는 “매3” 수능 국어 필수템- 매일 25분씩 6주 완성 프로그램- 독해력을 길러 주는 지문 분석 훈련법 적용- 기출 문제 최적의 학습법과 복습 프로그램의 만남- 가장 질문이 많았던 오답지에 대한 명쾌한 클리닉 해설- 시간 부족 문제를 해결해 주는 시간 훈련·관리 프로그램 적용- 접근 방법이 달라야 하는 문제 풀이법과 효과적인 공부법 제시- ‘어휘 문제 3단계 풀이법’을 적용한 ‘복습을 위한 어휘 노트’ 제공- 어휘력 향상을 위한 특허받은 국어 어휘 공부법 결합(특허 번호: 제10-1652160호)"
"윤혜정의 나비효과 입문편 시 문학, 소설 문학, 비문학",윤혜정,0.0점, 1,학습/참고서,고등학교,수능문제집,"시, 소설, 비문학 딱 15강씩, 필수 국어 개념들을 영역별로 정리하였다. 오늘의 개념 태그로 제시된 개념으로 필요한 개념들을 정리하였고, Quiz 형식의 문제를 통해 지문에 직접 적용해 보는 연습을 할 수 있다. 개념과 문제를 연결하는 기출문제들을 풀어 보면서 실제 시험에 대비할 수 있으며, EBS스마트북을 활용하여 스마트폰으로 바로 찍어 해설 강의를 수강할 수 있다.",
"EBS 강의노트 수능개념 국어 윤혜정의 개념의 나비효과 2015 개정교육과정 반영,2021 수능대비",윤혜정,7.0점, 1,학습/참고서,고등학교,수능문제집,- 독자대상 : 수능 시험 준비생- 구성 및 특징 : 			① 개정 교육과정 반영② 내신 대비까지 한번에③ 수능 대비 개념 학습,
오투 중등 과학 2-2 2020,비상교육 편집부,0.0점, 1,학습/참고서,중학교,중2 문제집,"1. 2015 개정 교육과정의 5종 교과서를 완벽히 분석하여 구성한 ‘개념+탐구+문제’의 시스템으로 내신을 철저히 대비할 수 있습니다.2. 체계적인 내용 정리와 다양한 문제 유형으로 상위권, 하위권 학생들을 모두 만족시킬 수 있는 맞춤형 교재입니다.[오투 특장점]1.	탐구 동영상으로 ‘오투실험실’ 구현오투 속 탐구를 동영상으로 구성하였습니다. 탐구 과정부터 원리 설명, 마무리 퀴즈까지 동영상으로 쉽고 재미있게 학습할 수 있습니다.2.	체계적인 개념 정리와 적중률 높은 문제	[개념] ● 교과서를 완벽히 분석한 핵심 개념을 정리하였습니다.● 풍부한 시각 자료로 교과 개념을 쉽게 이해하게 도왔습니다.[문제] ● 기출 문제를 철저히 분석하여 적중률 높은 문제 구성하였습니다.● 다양한 유형의 문제 학습이 가능하게 실력을 한 단계 높일 수 있는 수준 높은 문제까지, 모든 학생들이 만족할 수 있도록 구성하였습니다.3.	시험대비 교재오투로 완벽하게 시험에 대비할 수 있습니다.","1. 탐구 동영상으로 ‘오투실험실’ 구현오투 속 탐구를 동영상으로 구성하였습니다. 탐구 과정부터 원리 설명, 마무리 퀴즈까지 동영상으로 쉽고 재미있게 학습할 수 있습니다.2. 체계적인 개념 정리와 적중률 높은 문제 [개념] - 교과서를 완벽히 분석한 핵심 개념을 정리하였습니다.- 풍부한 시각 자료로 교과 개념을 쉽게 이해하게 도왔습니다.[문제] - 기출 문제를 철저히 분석하여 적중률 높은 문제 구성하였습니다.- 다양한 유형의 문제 학습이 가능하게 실력을 한 단계 높일 수 있는 수준 높은 문제까지, 모든 학생들이 만족할 수 있도록 구성하였습니다.3. 시험대비 교재오투로 완벽하게 시험에 대비할 수 있습니다."
"EBS 고난도 시크릿X 영어영역 고등 영어 봉투모의고사 3회분 2021 수능대비,2020",EBS,0.0점, 0,학습/참고서,고등학교,수능문제집,"2015 개정 교육과정 첫 수능! 고난도 문항 해결을 위한 비밀이 공개된다.2021학년도 수능 대비 고난도 시크릿X 봉투모의고사 (3회분)""실전보다 더 실전 같이! 진짜보다 더 어렵게! 제대로 어렵게!""상위권 학생이라면 반드시 풀어봐야 하는 고난도 특화 프리미엄 모의고사 문제집코로나 19로 인한 수능 실전 훈련의 중요성 강화! 수능 킬러 문항 완벽 대비 역대 최고난도 시크릿X 킬러 문항 & 준킬러 문항으로 시험 시간이 부족한 극한 시뮬레이션 체험- 3회분 모의고사 + EBS 최강 출제진의 수능 대비 학습 전략, 예상 등급 컷 제공수능 시험지 그대로의 봉투형 시험지 형태 + OMR 카드로 실전 감각과 적응력을 키운다- 수능과 동일한 배점과 체제, 더 높은 난도의 모의고사 훈련으로 실전에서 당황×, 적응력↑","2015 개정 교육과정 첫 수능! 고난도 문항 해결을 위한 비밀이 공개된다.2021학년도 수능 대비 고난도 시크릿X 봉투모의고사 (3회분)""실전보다 더 실전 같이! 진짜보다 더 어렵게! 제대로 어렵게!""상위권 학생이라면 반드시 풀어봐야 하는 고난도 특화 프리미엄 모의고사 문제집코로나 19로 인한 수능 실전 훈련의 중요성 강화! 수능 킬러 문항 완벽 대비 역대 최고난도 시크릿X 킬러 문항 & 준킬러 문항으로 시험 시간이 부족한 극한 시뮬레이션 체험- 3회분 모의고사 + EBS 최강 출제진의 수능 대비 학습 전략, 예상 등급 컷 제공수능 시험지 그대로의 봉투형 시험지 형태 + OMR 카드로 실전 감각과 적응력을 키운다- 수능과 동일한 배점과 체제, 더 높은 난도의 모의고사 훈련으로 실전에서 당황×, 적응력↑"
오투 중등 과학 3-2 2020,비상교육 편집부,0.0점, 0,학습/참고서,중학교,중3 문제집,"1. 2015 개정 교육과정의 4종 교과서를 완벽히 분석하여 구성한 ‘개념+탐구+문제’의 시스템으로 내신을 철저히 대비할 수 있습니다.2. 체계적인 내용 정리와 다양한 문제 유형으로 상위권, 하위권 학생들을 모두 만족시킬 수 있는 맞춤형 교재입니다.[오투 특장점]1.	탐구 동영상으로 ‘오투실험실’ 구현오투 속 탐구를 동영상으로 구성하였습니다. 탐구 과정부터 원리 설명, 마무리 퀴즈까지 동영상으로 쉽고 재미있게 학습할 수 있습니다.2.	체계적인 개념 정리와 적중률 높은 문제	[개념] ● 교과서를 완벽히 분석한 핵심 개념을 정리하였습니다.● 풍부한 시각 자료로 교과 개념을 쉽게 이해하게 도왔습니다.[문제] ● 기출 문제를 철저히 분석하여 적중률 높은 문제 구성하였습니다.● 다양한 유형의 문제 학습이 가능하게 실력을 한 단계 높일 수 있는 수준 높은 문제까지, 모든 학생들이 만족할 수 있도록 구성하였습니다.3.	시험대비 교재오투로 완벽하게 시험에 대비할 수 있습니다.","매학기, 매년 업그레이드되는 오투의 콘텐츠가 대한민국 중학생 4명 중 1명이 선택한 오투의 명성을 증명합니다."
EBS 고교 50일 수학 (상) 2018,EBS 편집부,10.0점, 1,학습/참고서,고등학교,문제집,"『고등 50일 수학(상)(2017)』은 주제별로 초등부터 고1까지의 수학 개념을 하나의 맥으로 연결시켜주는 개념 유형 문제집입니다. 고등학교 교과서에 수록된 기본적인 수학 문제에 요구되는 초등, 중학교 수학 개념을 되짚어 보고 유형 유제를 통해 원리를 연습하여 주제별로 개념을 마스터할 수 있습니다. 중학교 때 수학을 못했어도 50일만에 수학의 맥을 잡을 수 있습니다.","“50일 만에 초·중·고 수학의 맥(脈)을 잡다.초등, 중학교 때 방정식을 못했어도 이제 잘할 수 있다. 고등학교에서 배우는 수학은 초등, 중학교의 내용을 기초로 하고 있습니다. 그래서 초등, 중학교의 수학 개념에 대한 이해가 부족 하면 고등학교 수학을 제대로 공부할 수 없습니다. 그러나 《50일 수학》은 중학교 때 일차방정식과 이차방정식을 이해하지 못했어도 고등학교 여러 가지 방정식을 배울 수 있게 해줍니다. 취약점을 파악하여 선택적으로 학습한다.수학을 공부하면서 어려웠던 단원을 생각해 보고, 그 단원에 맞는 주제를 선택하여 그 주제부터 공부해 봅시다. 예를 들어 다항식 단원을 공부하면서 어려웠다면 중학교 때의 곱셈 공식, 인수분해 공식뿐만 아니라 초등학교 때의 분수의 사칙연산까지도 개념 이해가 부족한 것일 수 있습니다. 이때 《50일 수학》의 ‘THEME 01 다항식’을 선택하여 학습한다면 다항식에 대한 모든 것을 알 수 있습니다.방학 특강, 방과 후 수업 등 특강용 교재로 활용한다.방정식 특강, 함수 특강, 도형 특강 등 영역별로 특강을 통해 바탕부터 확실히 기본기를 다질 수 있습니다. 방학이나 방과 후 수업 등 보충 특강용 교재로 활용하면 부족한 수학 개념을 단기간에 보충할 수 있습니다. 중학교 때 못했어도 50일 만에 수학의 맥(脈)을 잡다.《50일 수학》은 주제별로 초등부터 고1까지의 수학 개념을 하나의 맥으로 연결시켜주는 개념 유형 문제집입니다. 고등학교 교과서에 수록된 기본적인 수학 문제에 요구되는 초등, 중학교 수학 개념을 되짚어 보고 유형 유제를 통해 원리를 연습하여 주제별로 개념을 마스터할 수 있습니다. 중학교 때 수학을 못했어도 50일만에 수학의 맥을 잡아봅시다. 그동안 수학의 기초가 부족해서 어떻게 공부해야 할 지 몰라서 답답했다면 이제부터 《50일 수학》과 함께 수학을 다시 시작해 봅시다."
"천일문 기본 베이직 3.0-1001SENTENCES BASIC 1001개의 영어 문장으로 익히는 기본 필수 구문과 어휘,2014",김기훈,9.75점, 46,학습/참고서,,,"2004년 발간 후 10년 연속 구문 분야 1위를 지켜온 베스트셀러 <천일문 기본 Basic>의 업그레이드 개정판!천일문 기본 Basic은 이렇게 다르다!● 문장이 학습의 주가 되는 천일문! 설명이 주가 되고 예문이 부가 되는 여타의 다른 책들과 달리, 천일문은 문장이 주가 된다. ● 영문의 핵심 구조를 담은 1001개의 문장 엄선!이 책에 실린 1001개의 문장은 원어민들이 실제로 사용하는가(authenticity), 자주 꺼내 쓸 수 있는 표현인가(real-life usability), 흥미롭고 참신한 정보나 삶의 지혜를 담고 있는가(educational values)의 기준으로 엄선했다. ● 모든 영어 시험의 기초가 되는 111개 구문의 체계적 제시!천일문 한 권으로 학습자들은 모든 영어 시험에서 다뤄지는 기본적인 구문을 체계적으로 학습할 수 있다.ver. 3.0은 어떤 점이 달라졌을까? ● 문장의 50%를 더 새롭고 질 높은 문장으로 교체! 시대 흐름에 맞도록 문장의 참신성을 더하고 최신 기출을 포함했다. ● 더 자세한 설명으로 대폭 보강된 천일비급!● 더 빠르게 구문을 학습할 수 있는 중요예문 선정!단시간에 구문을 학습하고 싶을 때 꼭 필요한 문장만 볼 수 있도록, 중요예문을 따로 표시하였다.● 어법시험에 직결되는 구문은 한 번 더 짚고 가도록 별도 표식 추가!어법시험에 자주 등장하는 구문은 따로 표시하여 시험에 효과적으로 대비할 수 있도록 하였다.● 학습 중에 어법이나 구문 이해를 바로 테스트해볼 수 있는 Check-up 문제 추가!● 비효율적인 내용은 과감히 삭제! 학습 집중도는 Up! 학습 부담은 Down!● 학습한 구문을 훈련할 수 있는 천일문 기본 문제집 <천기문> 신설! (별도 판매) ● 더욱 다양해진 무료 온라인 부가서비스!MP3 파일, 본문 해석 연습지, 본문 말하기·영작 연습지, 어휘테스트, 딕테이션 Sheet 등을 통해 학습자 스스로 1001개의 문장을 말하고, 영작하고, 받아쓰고, 따라 읽어보며 배운 것을 완전히 자기 것으로 만들 수 있다.","2004년 발간 후 10년 연속 구문 분야 1위를 지켜온 베스트셀러 〈천일문 기본 Basic〉의 업그레이드 개정판!천일문 기본 Basic은 이렇게 다르다!● 문장이 학습의 주가 되는 천일문! 설명이 주가 되고 예문이 부가 되는 여타의 다른 책들과 달리, 천일문은 문장이 주가 된다. ● 영문의 핵심 구조를 담은 1001개의 문장 엄선!이 책에 실린 1001개의 문장은 원어민들이 실제로 사용하는가(authenticity), 자주 꺼내 쓸 수 있는 표현인가(real-life usability), 흥미롭고 참신한 정보나 삶의 지혜를 담고 있는가(educational values)의 기준으로 엄선했다. ● 모든 영어 시험의 기초가 되는 111개 구문의 체계적 제시!천일문 한 권으로 학습자들은 모든 영어 시험에서 다뤄지는 기본적인 구문을 체계적으로 학습할 수 있다.ver. 3.0은 어떤 점이 달라졌을까? ● 문장의 50%를 더 새롭고 질 높은 문장으로 교체! 시대 흐름에 맞도록 문장의 참신성을 더하고 최신 기출을 포함했다. ● 더 자세한 설명으로 대폭 보강된 천일비급!● 더 빠르게 구문을 학습할 수 있는 중요예문 선정!단시간에 구문을 학습하고 싶을 때 꼭 필요한 문장만 볼 수 있도록, 중요예문을 따로 표시하였다.● 어법시험에 직결되는 구문은 한 번 더 짚고 가도록 별도 표식 추가!어법시험에 자주 등장하는 구문은 따로 표시하여 시험에 효과적으로 대비할 수 있도록 하였다.● 학습 중에 어법이나 구문 이해를 바로 테스트해볼 수 있는 Check-up 문제 추가!● 비효율적인 내용은 과감히 삭제! 학습 집중도는 Up! 학습 부담은 Down!● 학습한 구문을 훈련할 수 있는 천일문 기본 문제집 〈천기문〉 신설! (별도 판매) ● 더욱 다양해진 무료 온라인 부가서비스!MP3 파일, 본문 해석 연습지, 본문 말하기·영작 연습지, 어휘테스트, 딕테이션 Sheet 등을 통해 학습자 스스로 1001개의 문장을 말하고, 영작하고, 받아쓰고, 따라 읽어보며 배운 것을 완전히 자기 것으로 만들 수 있다. (www.cedubook.com)www.megastudy.net 김기훈 저자 직강 (유료)● [2014 NEW] CEDU 천일문[기본] 강좌명으로 김기훈 선생님이 직강⊙ 추천학생- 대한민국 중학교 교육과정을 이수한 모든 남녀!- 영문과 구문에 대한 막연한 두려움을 갖고 있는 학생!- 실제 원어민이 사용하고, 자주 꺼내 쓸 수 있는 문장을 습득하고 싶은 학생!- 영어의 기초를 다지고 싶은 대한민국 누구라도~ ⊙ 이렇게 해보세요 Tip- 천일비급을 항상 휴대하고 시도 때도 없이 공부해보세요! - 본문 해석 연습지를 출력한 뒤, 해석을 써본 후 비급과 대조, 점검해 보세요! - 본문 말하기·영작 연습지를 통해 ‘빈칸 채우기 → 순서 배열하기 → 영작하기’ 순으로 말하고 써 보면서 학습한 구문을 더 확실하게 자기 것으로 만들어 보세요! - MP3파일의 청크단위 버전(약간 느린 속도)과 문장단위 버전(정상 속도)을 들으며 원어민 발음을 무한 반복 청취하고 따라 말해 보세요! 구문을 익히는 동시에 원어민 발음도 체득할 수 있게 됩니다.- 어휘테스트 파일로 스스로 테스트해보세요!"
"EBS 고난도 시크릿X 국어영역 고등 국어 봉투모의고사 3회분 2021 수능대비,2020",EBS,0.0점, 2,학습/참고서,고등학교,수능문제집,"015 개정 교육과정 첫 수능! 고난도 문항 해결을 위한 비밀이 공개된다.2021학년도 수능 대비 고난도 시크릿X 봉투모의고사 (3회분)""실전보다 더 실전 같이! 진짜보다 더 어렵게! 제대로 어렵게!""상위권 학생이라면 반드시 풀어봐야 하는 고난도 특화 프리미엄 모의고사 문제집코로나 19로 인한 수능 실전 훈련의 중요성 강화! 수능 킬러 문항 완벽 대비 역대 최고난도 시크릿X 킬러 문항 & 준킬러 문항으로 시험 시간이 부족한 극한 시뮬레이션 체험- 3회분 모의고사 + EBS 최강 출제진의 수능 대비 학습 전략, 예상 등급 컷 제공수능 시험지 그대로의 봉투형 시험지 형태 + OMR 카드로 실전 감각과 적응력을 키운다- 수능과 동일한 배점과 체제, 더 높은 난도의 모의고사 훈련으로 실전에서 당황×, 적응력↑","2015 개정 교육과정 첫 수능! 고난도 문항 해결을 위한 비밀이 공개된다.2021학년도 수능 대비 고난도 시크릿X 봉투모의고사 (3회분)""실전보다 더 실전 같이! 진짜보다 더 어렵게! 제대로 어렵게!""상위권 학생이라면 반드시 풀어봐야 하는 고난도 특화 프리미엄 모의고사 문제집코로나 19로 인한 수능 실전 훈련의 중요성 강화! 수능 킬러 문항 완벽 대비 역대 최고난도 시크릿X 킬러 문항 & 준킬러 문항으로 시험 시간이 부족한 극한 시뮬레이션 체험- 3회분 모의고사 + EBS 최강 출제진의 수능 대비 학습 전략, 예상 등급 컷 제공수능 시험지 그대로의 봉투형 시험지 형태 + OMR 카드로 실전 감각과 적응력을 키운다- 수능과 동일한 배점과 체제, 더 높은 난도의 모의고사 훈련으로 실전에서 당황×, 적응력↑"
