title,author,score,num_reviewers,main genre,middle genre,subclass,introduction,review
뿌리깊은 초등국어 독해력 3단계 하루 15분 국어 독해력의 기틀을 다지는,마더텅 편집부,9.7점, 25,학습/참고서,초등학교,,"1주 5회, 두 달에 완성하는 초등국어 독해력 교재!하루 15분씩, 하나의 독해 지문과 독해력을 키워주는 독해 문제 7개를 풀어보세요!ㆍ초대장부터 공익광고까지 다양한 유형의 지문 수록ㆍ교과서 수록 작품 중심으로 엄선한 시와 소설 수록ㆍ매 지문마다 어법과 어휘만을 따로 공부하는 장 수록ㆍ학습결과를 재밌게 기록할 수 있는 학습평가 붙임딱지 수록ㆍ공부한 날이 쌓여갈수록 학생 독해력의 어떤 점이 부족한지 알게 해주는 ‘문제 유형별 분석표’ 수록ㆍ독해력을 기르는 데 도움이 되는 여러 가지 읽을거리 다수 수록",
뿌리깊은 초등국어 독해력 1단계 하루 15분 국어 독해력의 기틀을 다지는,마더텅 편집부,10.0점, 23,학습/참고서,초등학교,,"1주 5회, 두 달에 완성하는 초등국어 독해력 교재!하루 15분씩, 하나의 독해 지문과 독해력을 키워주는 독해 문제 7개를 풀어보세요!ㆍ처음 초등국어 독해 공부를 시작하는 학생을 위한 재밌고 다양한 지문 수록ㆍ교과서 수록 작품 및 배경지식으로 알아둘 만한 전래동화, 우화 수록ㆍ매 지문마다 어법과 어휘만을 따로 공부하는 장 수록ㆍ학습결과를 재밌게 기록할 수 있는 학습평가 붙임딱지 수록ㆍ공부한 날이 쌓여갈수록 학생 독해력의 어떤 점이 부족한지 알게 해주는 ‘문제 유형별 분석표’ 수록ㆍ독해력을 기르는 데 도움이 되는 여러 가지 읽을거리 다수 수록",
"뿌리깊은 초등국어 독해력 5단계 하루 15분 국어 독해력의 기틀을 다지는,초등 5·6학년 대상",마더텅 편집부,10.0점, 27,학습/참고서,초등학교,,"1주 5회, 두 달에 완성하는 초등국어 독해력 교재!하루 15분씩, 하나의 독해 지문과 독해력을 키워주는 독해 문제 7개를 풀어보세요!●깊이와 시사성을 갖춘 지문 추가 수록●초등학생도 읽을 만한 인문 고전 작품 수록●매 지문마다 어법과 어휘만을 따로 공부하는 장 수록●학습결과를 재밌게 기록할 수 있는 학습평가 붙임딱지 수록●공부한 날이 쌓여갈수록 학생 독해력의 어떤 점이 부족한지 알게 해주는 ‘문제 유형별 분석표’ 수록●독해력을 기르는 데 도움이 되는 여러 가지 읽을거리 다수 수록",
"신사고 쎈 수학 5-2 새교육과정,2020,문제기본서",홍범준,10.0점, 37,학습/참고서,초등학교,초등5학년,"학교 시험에 나오는 모든 문제가 다 들어 있는 “문제기본서 쎈”""1. 초등 과정의 모든 수학 문제를 총정리교과서와 익힘책은 물론 학교 시험에 출제된 문제까지 초등 과정의 모든 수학 문제를 담은 〈쎈 수학〉 한 권으로 초등학교 수학 학습을 완벽하게 끝낼 수 있습니다.2. 모든 문제를 난이도별로 분류하여 구성쉬운 문제부터 어려운 문제까지 순서대로 도전하는 것이 합리적인 수학 학습법입니다. 〈쎈 수학〉은 문제의 난이도를 A, B, C 3단계로 나누어 수준별로 구성하고 다시 B단계를 상, 중, 하의 난이도로 세분하여 체계적으로 수학 실력을 키울 수 있습니다.3. 모든 문제를 입체적으로 분석하여 유형화교과서 개념과 익힘책 및 학교 시험 기출 문제 분석을 바탕으로 초등수학 5-1에서 다뤄야 하는 모든 문제를 유형별로 분류하고 정리하였으므로 유형별로 충분한 문제 연습을 통해 문제 해결력을 키울 수 있습니다.4. 효율적인 자기주도학습과 반복학습 가능학생 스스로 주도적으로 계획을 세워 취약 유형에 대해 반복학습을 할 수 있도록 각 단원별 표로 구성한 〈학습 실천 계획표〉를 제공하였습니다.""","1. 모든 문제를 체계적으로 분석하여 유형별로 제시2. A, B, C 3단계로 나누어 수준별로 구성된 문제 해결 학습3. 예시답안과 채점기준표를 제공한 서술형 주관식 문제 구성4. 혼자서도 쉽게 이해할 수 있는 자세한 풀이,   잘 틀리는 문제에 대한 틀리는 이유, 해결 방안 제시'3,000만 부 돌파, 베스트셀러 문제기본서 쎈'학교 시험에 나오는 모든 문제가 다 들어 있는 “문제기본서 쎈”[쎈 수학]은 수학 문제 해결 학습 방법으로 유형별 문제 학습을 선도적으로 제안하며 등장하여 한결같이 최고의 자리를 지키고 있는 수학 문제 기본서의 대표 주자입니다. 문항 분석 방법, 보유하고 있는 방대한 데이터 베이스와 인프라가 매년 유사 교재들이 범람하는 속에서도 [쎈 수학]이 최고의 자리에 있는 이유입니다. [쎈 수학]의 유형 분석과 문제 해결 방법은 어떤 유사 교재도 따라올 수 없는 특별함이 있습니다. 또 스스로 계획하고 공부하는 자기주도학습을 위해 [학습 실천 계획표]를 제공합니다. 수학은 자발적으로 하지 않으면 성과를 보기 힘든 과목이므로 학습 계획과 습관을 길러야 합니다. [학습 실천 계획표]를 이용하여 스스로 계획을 세우고 점검하면서 [쎈 수학]을 학습할 수 있습니다."
디딤돌 초등 수학 기본+응용 2-2 2020,디딤돌 편집부,10.0점, 13,학습/참고서,초등학교,초등2학년,"? [디딤돌 초등수학 기본]과 [디딤돌 초등수학 기본+응용]은 이런 차이가 있어요. ① 개념 정리와 개념 확인 문제는 동일합니다. ② 2단계(기본 문제), 3단계의 문제(실력 문제)는 기본+응용이 기본보다 조금 더 많고 난이도도 약간 더    높습니다. ③ 4단계(단원평가)는 기본에는 1회, 기본+응용에는 2회로 구성되어 있고 기본+응용의 두 번째 단원평가는     첫 번째 단원평가보다 난이도가 약간 높습니다. 처음 수학을 공부하는 저학년 학생들이 앞으로 수학을 제대로 공부할 수 있도록 수학적 관점에서 개념을 정리하였습니다. 1, 2학년에서 배우는 개념들은 어른의 눈높이에서 볼 때는 매우 쉽고 단순해 보이지만 이 시기에 형성되는 수학적 사고와 개념간의 관계 이해가 이후 초등 고학년, 중고등 수학 학습으로도 이어지게 됩니다. 이에 디딤돌 초등수학 기본+응용은 새 교과서의 문제 유형들도 반영하였을 뿐만 아니라 개념을 수학적 관점에서 이해할 수 있는 문제, 수학적 사고력을 기를 수 있는 문제들을 담았습니다.또한 진도책의 문제를 1:1로 복습할 수 있는 〈실력 보강 자료집〉을 별도 구성하여 복습이나 시험대비에 활용하실 수 있도록 하였습니다.",
최상위 수학 초등 5-2 2020,디딤돌 편집부,10.0점, 13,학습/참고서,초등학교,초등5학년,"진정한 상위권이 되기 위한 필독서입니다.교과서 수준의 개념이 아닌 실전 개념, 사고력 개념, 이후 학습으로의 연결 개념들을 함께 다루어 아이들이 수학적 관점에서 해당 교과 내용을 이해할 수 있게 하였습니다. 또한 최상위 수준까지 끌어줄 수 있도록 문제의 난이도 선정 및 배치를 전략적으로 구성하여 누구든 상위권에 도전할 수 있도록 하였습니다. 해설 역시 최상위만의 차별화된 상세한 해설로 부모님들이 지도하시는 데에 어려움이 없도록 개선하였습니다.단원별 경시 수준의 문제지와 수능형 사고력을 기를 수 있는 평가지도 함께 담겨 있으므로 저학년에서부터 수학적 사고력을 기를 수 있는 최상의 교재가 될 것입니다.","→ 단원의 도입단원 내용의 역사적 배경과 의미, 맥락, 또는 관련 생활 사례 등을 감각적으로 구성하여 상위권 수준에 맞는 폭넓은 배경지식을 습득할 수 있도록 하였습니다.→ Basic Concept교과서 개념을 뛰어 넘어 실전 개념, 연결개념, 주의 개념, 사고력 개념을 함꼐 정리하여 심화학습의 기본기를 갖출 수 있게 하였습니다.→ Basic Test본격적인 심화 학습에 들어가기 전 단계로 개념을 적용해 보며 실력을 확인합니다.→ Math Topic엄선된 대표 심화 유형들을 직접 학습함으로써 문제 해결력과 사고력을 향상시키는 단계입니다.→ Level up Test대표 심화 유형 외의 다양한 심화 문제들을 풀어 봄으로써 해결 전략과 방법을 학습하고 상위권으로 한 걸음 나아가는 단계입니다.→ High Level교외 경시대회에서 출제되는 수준 높은 문제들을 풀어 봄으로써 상위 3% 최상위권에 도전하는 단계입니다.〈특별부록〉단원별 교재 경시 문제수능형 사고력을 기르는 Test"
쎈 초등 수학 5-1 2019,홍범준,10.0점, 29,학습/참고서,초등학교,초등5학년,"학교 시험에 나오는 모든 문제가 다 들어 있는 “문제기본서 쎈”1. 초등 과정의 모든 수학 문제를 총정리교과서와 익힘책은 물론 학교 시험에 출제된 문제까지 초등 과정의 모든 수학 문제를 담은 〈쎈 수학〉 한 권으로 초등학교 수학 학습을 완벽하게 끝낼 수 있습니다.2. 모든 문제를 난이도별로 분류하여 구성쉬운 문제부터 어려운 문제까지 순서대로 도전하는 것이 합리적인 수학 학습법입니다. 〈쎈 수학〉은 문제의 난이도를 A, B, C 3단계로 나누어 수준별로 구성하고 다시 B단계를 상, 중, 하의 난이도로 세분하여 체계적으로 수학 실력을 키울 수 있습니다.3. 모든 문제를 입체적으로 분석하여 유형화교과서 개념과 익힘책 및 학교 시험 기출 문제 분석을 바탕으로 초등수학 5-1에서 다뤄야 하는 모든 문제를 유형별로 분류하고 정리하였으므로 유형별로 충분한 문제 연습을 통해 문제 해결력을 키울 수 있습니다.4. 효율적인 자기주도학습과 반복학습 가능학생 스스로 주도적으로 계획을 세워 취약 유형에 대해 반복학습을 할 수 있도록 각 단원별 표로 구성한 〈학습 실천 계획표〉를 제공하였습니다.","1. 모든 문제를 체계적으로 분석하여 유형별로 제시2. A, B, C 3단계로 나누어 수준별로 구성된 문제 해결 학습3. 예시답안과 채점기준표를 제공한 서술형 주관식 문제 구성4. 혼자서도 쉽게 이해할 수 있는 자세한 풀이,   잘 틀리는 문제에 대한 틀리는 이유, 해결 방안 제시'3,000만 부 돌파, 베스트셀러 문제기본서 쎈'학교 시험에 나오는 모든 문제가 다 들어 있는 “문제기본서 쎈”〈쎈 수학〉은 수학 문제 해결 학습 방법으로 유형별 문제 학습을 선도적으로 제안하며 등장하여 한결같이 최고의 자리를 지키고 있는 수학 문제 기본서의 대표 주자입니다. 문항 분석 방법, 보유하고 있는 방대한 데이터 베이스와 인프라가 매년 유사 교재들이 범람하는 속에서도 〈쎈 수학〉이 최고의 자리에 있는 이유입니다. 〈쎈 수학〉의 유형 분석과 문제 해결 방법은 어떤 유사 교재도 따라올 수 없는 특별함이 있습니다. 또 스스로 계획하고 공부하는 자기주도학습을 위해 〈학습 실천 계획표〉를 제공합니다. 수학은 자발적으로 하지 않으면 성과를 보기 힘든 과목이므로 학습 계획과 습관을 길러야 합니다. 〈학습 실천 계획표〉를 이용하여 스스로 계획을 세우고 점검하면서 〈쎈 수학〉을 학습할 수 있습니다."
"뿌리깊은 초등국어 독해력 어휘편 사자성어·속담·관용어 3단계 초등3,4학년 대상",마더텅 편집부,10.0점, 19,학습/참고서,초등학교,,"본 교재는 하루 15분 초등국어 독해 공부로 어휘까지 공부할 수 있는 초등국어 교재입니다.본 교재는 표현과 어휘 중심으로 공부하는 초등국어 독해 교재입니다.본 교재에 수록된 지문에는 앞으로의 국어 학습에 꼭 필요한 사자성어, 관용어, 속담을 활용한 구문이 들어가 있습니다.이러한 지문으로 독해 공부를 하게 되면 초등국어 독해력을 높이는 것은 물론,	-교훈이 담긴 속담	-표현력을 기를 수 있는 관용어	-지혜를 담고 있는 사자성어이 모두를 함께 공부할 수 있습니다.단순하게 암기하는 어휘 교재가 아닌 독해 공부로 어휘를 공부하는 교재입니다.〈뿌리깊은 초등국어 독해력 어휘편〉으로 어휘를 공부하면 다음과 같은 장점이 있습니다.-단순하게 암기하는 어휘 공부가 아니기 때문에 재미있게 어휘를 학습할 수 있습니다.-유래가 있는 어휘일 경우, 이야기를 통해 어휘가 어떻게 생성되었는지 알 수 있습니다.-실제 지문에서 어휘가 활용되는 문장을 독해하였기 때문에 자연스레 어휘의 용례도 공부할 수 있습니다.-독해 문제를 통해 어휘의 쓰임과 뜻을 한 번 더 복습할 수 있습니다.-다양한 소재의 지문을 읽을 수 있기 때문에 배경지식 및 상식을 높이는 데에도 도움이 됩니다.","『뿌리깊은 초등국어 독해력 어휘편』으로 어휘를 공부하면 다음과 같은 장점이 있습니다.-단순하게 암기하는 어휘 공부가 아니기 때문에 재미있게 어휘를 학습할 수 있습니다.-유래가 있는 어휘일 경우, 이야기를 통해 어휘가 어떻게 생성되었는지 알 수 있습니다.-실제 지문에서 어휘가 활용되는 문장을 독해하였기 때문에 자연스레 어휘의 용례도 공부할 수 있습니다.-독해 문제를 통해 어휘의 쓰임과 뜻을 한 번 더 복습할 수 있습니다.-다양한 소재의 지문을 읽을 수 있기 때문에 배경지식 및 상식을 높이는 데에도 도움이 됩니다."
뿌리깊은 초등국어 독해력 어휘편 사자성어·속담·관용어 1단계 초등1·2학년 대상,마더텅 편집부,10.0점, 13,학습/참고서,초등학교,,"본 교재는 하루 15분 초등국어 독해 공부로 어휘까지 공부할 수 있는 초등국어 교재입니다.본 교재는 표현과 어휘 중심으로 공부하는 초등국어 독해 교재입니다.본 교재에 수록된 지문에는 앞으로의 국어 학습에 꼭 필요한 사자성어, 관용어, 속담을 활용한 구문이 들어가 있습니다.이러한 지문으로 독해 공부를 하게 되면 초등국어 독해력을 높이는 것은 물론,	-교훈이 담긴 속담	-표현력을 기를 수 있는 관용어	-지혜를 담고 있는 사자성어이 모두를 함께 공부할 수 있습니다.단순하게 암기하는 어휘 교재가 아닌 독해 공부로 어휘를 공부하는 교재입니다.〈뿌리깊은 초등국어 독해력 어휘편〉으로 어휘를 공부하면 다음과 같은 장점이 있습니다.-단순하게 암기하는 어휘 공부가 아니기 때문에 재미있게 어휘를 학습할 수 있습니다.-유래가 있는 어휘일 경우, 이야기를 통해 어휘가 어떻게 생성되었는지 알 수 있습니다.-실제 지문에서 어휘가 활용되는 문장을 독해하였기 때문에 자연스레 어휘의 용례도 공부할 수 있습니다.-독해 문제를 통해 어휘의 쓰임과 뜻을 한 번 더 복습할 수 있습니다.-다양한 소재의 지문을 읽을 수 있기 때문에 배경지식 및 상식을 높이는 데에도 도움이 됩니다.","『뿌리깊은 초등국어 독해력 어휘편』으로 어휘를 공부하면 다음과 같은 장점이 있습니다.-단순하게 암기하는 어휘 공부가 아니기 때문에 재미있게 어휘를 학습할 수 있습니다.-유래가 있는 어휘일 경우, 이야기를 통해 어휘가 어떻게 생성되었는지 알 수 있습니다.-실제 지문에서 어휘가 활용되는 문장을 독해하였기 때문에 자연스레 어휘의 용례도 공부할 수 있습니다.-독해 문제를 통해 어휘의 쓰임과 뜻을 한 번 더 복습할 수 있습니다.-다양한 소재의 지문을 읽을 수 있기 때문에 배경지식 및 상식을 높이는 데에도 도움이 됩니다."
"최상위 초등 수학 6-2 개정 교육과정 반영,2020",디딤돌 편집부,10.0점, 11,학습/참고서,초등학교,초등6학년,"진정한 상위권이 되기 위한 필독서입니다.교과서 수준의 개념이 아닌 실전 개념, 사고력 개념, 이후 학습으로의 연결 개념들을 함께 다루어 아이들이 수학적 관점에서 해당 교과 내용을 이해할 수 있게 하였습니다. 또한 최상위 수준까지 끌어줄 수 있도록 문제의 난이도 선정 및 배치를 전략적으로 구성하여 누구든 상위권에 도전할 수 있도록 하였습니다. 해설 역시 최상위만의 차별화된 상세한 해설로 부모님들이 지도하시는 데에 어려움이 없도록 개선하였습니다.단원별 경시 수준의 문제지와 수능형 사고력을 기를 수 있는 평가지도 함께 담겨 있으므로 저학년에서부터 수학적 사고력을 기를 수 있는 최상의 교재가 될 것입니다.","[본문]◎ 단원의 도입단원 내용의 역사적 배경과 의미, 맥락, 또는 관련 생활 사례 등을 감각적으로 구성하여 상위권 수준에 맞는 폭넓은 배경지식을 습득할 수 있도록 하였습니다.◎ Basic Concept교과서 개념을 뛰어 넘어 실전 개념, 연결개념, 주의 개념, 사고력 개념을 함꼐 정리하여 심화학습의 기본기를 갖출 수 있게 하였습니다.◎ Basic Test본격적인 심화 학습에 들어가기 전 단계로 개념을 적용해 보며 실력을 확인합니다.◎ Math Topic엄선된 대표 심화 유형들을 직접 학습함으로써 문제 해결력과 사고력을 향상시키는 단계입니다.◎ Level up Test대표 심화 유형 외의 다양한 심화 문제들을 풀어 봄으로써 해결 전략과 방법을 학습하고 상위권으로 한 걸음 나아가는 단계입니다.◎ High Level교외 경시대회에서 출제되는 수준 높은 문제들을 풀어 봄으로써 상위 3% 최상위권에 도전하는 단계입니다.[특별부록]단원별 교재 경시 문제수능형 사고력을 기르는 Test"
