title,author,score,num_reviewers,main genre,middle genre,subclass,introduction,review
해커스공기업 단기 합격 NCS 기본서 직업기초능력평가+직무수행능력평가 (2020 하반기) NCS모듈형+PSAT문제+실전모의고사 수록 ㅣ바로 채점 및 성적 분석서비스,김소원,0.0점, 0,취업/수험서,공무원,7급 공무원,"취업/수험서 분야 베스트셀러 1위!기획재정부 시행 “공공기관 채용박람회”의 NCS 초청강사 집필한 권으로 끝내는 공사 공단 NCS 통합 기본서1. 2020 하반기 최신판! NCS 최신 출제경향과 기출유형을 완벽 반영한 NCS 통합 기본서! 2. 체계적인 3단계 학습 시스템으로 최신 기출유형부터 실전모의고사까지 한 권으로 끝낼 수 있습니다. 3. 이것까지 담았다! 자기소개서 작성부터 면접, 인성검사, 시사상식까지 NCS 채용 합격 전략을 모두 담았습니다.4. 이해하기 쉬운 상세한 해설을 수록하여 학습 시간을 줄이고 효율적인 시험 대비가 가능합니다.","취업/수험서 분야 베스트셀러 1위!         기획재정부 시행 “공공기관 채용박람회”의 NCS 초청강사 집필한 권으로 끝내는 공사 공단 NCS 통합 기본서[이런 분에게 추천합니다!]1. 모든 공사 공단 NCS 시험을 대비할 수 있는 통합 기본서가 필요한 분들2. 한 권으로 NCS 기출유형부터 실전모의고사까지 다 학습하고 싶은 분들3. 자기소개서 작성부터 인성검사, 면접까지 NCS 채용의 모든 것을 한 번에 대비하고 싶은 분들4. 최근 난이도가 높아진 NCS에 대비해 PSAT 기출문제를 풀어보고 고득점을 달성하고 싶은 분들 [해커스 교재만의 특장점]1. 2020 하반기 최신판! NCS 최신 출제경향과 기출유형을 완벽 반영한 NCS 통합 기본서! 2. 체계적인 3단계 학습 시스템으로 최신 기출유형부터 실전모의고사까지 한 권으로 끝낼 수 있습니다. 3. 이것까지 담았다! 자기소개서 작성부터 면접, 인성검사, 시사상식까지 NCS 채용 합격 전략을 모두 담았습니다.4. 이해하기 쉬운 상세한 해설을 수록하여 학습 시간을 줄이고 효율적인 시험 대비가 가능합니다. 2020 상반기 시험까지 포함하여 공기업 출제경향을 철저히 분석하고 반영한 NCS 통합 기본서입니다. 기획재정부 시행 '공공기관 채용 박람회'의 NCS 초청강사가 집필하여 높은 적중률을 자랑하고, 최근 출제되는 NCS 10개 영역, 34개 기출유형으로 공사 공단 통합 대비가 가능합니다. 출제 영역 일람표를 통해 주요 기업의 직업기초능력평가 NCS 출제 영역을 한눈에 파악할 수 있습니다.  'NCS 출제 필수 이론 학습하기 → 기출 유형별 전략 익히기 및 집중 문제 풀이 → 실전모의고사를 통해 실전 감각 키우기'의 체계적인 3단계 학습 시스템으로 최신 기출유형부터 실전모의고사까지 한 권으로 끝낼 수 있습니다. [1단계] 공식 워크북 자료 중 빈출 내용만을 엄선하여 정리한 〈NCS 핵심 압축 정리〉를 통해 단기간에 기본 이론 학습이 가능하며, 공식 워크북에는 없지만 문제 풀이에 반드시 필요한 이론과 공식을 정리한 〈빈출 암기 노트〉로 추가 학습까지 가능합니다. [2단계] 최신 출제경향 및 기출 유형별 풀이 전략 학습으로 유형별 특징을 파악하고, 시간을 단축하는 풀이법을 익힐 수 있으며, PSAT 기출 및 기출 변형 문제를 통해 최근 고난도 NCS 문제로 자주 출제되는 PSAT 유형까지 대비 가능합니다. 직업기초능력평가의 대표 기출유형과 실전모의고사를 통해 문제 유형 파악부터 실전 대비까지 한 권으로 학습할 수 있고, 직무수행능력평가의 출제 예상문제를 통해 경영/경제/행정 관련 직무의 선택형/서술형 문제도 학습할 수 있습니다. [3단계] 실제 시험과 동일한 형태의 모의고사 2회분(영역형/통합형)과 OMR 카드로 실전 감각을 극대화할 수 있고, 모의고사 풀이 후, 해설집에 수록된 ‘바로 채점 및 성적 분석 서비스’ QR코드로 응시 인원 대비 자신의 성적 위치를 확인하여 학습자 스스로 실력을 점검할 수 있습니다. 게다가, NCS 기본 정보부터 NCS 기반 서류전형, NCS 채용 단계별 학습 전략 등을 확인할 수 있는 'NCS 완전 정복', 대표 출제 유형과 유형별 예시 문항을 확인할 수 있는 'NCS 인성검사', NCS 기반 면접 유형과 기업별 기출 질문을 미리 파악하고 맞춤 대비할 수 있는 'NCS 면접' 을 수록하여 NCS 채용에 대한 필승 합격 전략을 제공합니다. 마지막으로 취업준비생이라면 꼭! 알아야 할 취업 시사상식 관련 무료 강의로 시사상식까지 잡을 수 있습니다. 모든 문제에 대해 쉽게 이해되는 상세한 해설을 수록하였으며, '빠른 문제 풀이 Tip'을 통해 수리능력 문제를 빠르게 푸는 방법을 익혀 풀이 시간을 확! 줄일 수 있으며, 해설집 내 '더 알아보기'를 통해 문제와 관련된 추가 개념/이론까지 한번에 학습할 수 있습니다.  [NCS 단기 합격을 위한 해커스만의 추가 혜택 - 해커스공기업 public.Hackers.com]1. 소원쌤의 시험장에서 통하는 수리 SKILL 강의 (교재 내 수강권 수록)2. 공기업 취업성공전략 동영상강의 (교재 내 수강권 수록)3. 쉽게 배우는 취업 시사상식&인문학 무료 강의4. 본 교재 동영상강의 (교재 내 할인쿠폰 수록)5. NCS 온라인 모의고사 (교재 내 응시권 및 해설강의 할인쿠폰 수록)6. 공기업 취업 GUIDE : 에너지발전 공기업편7. 무료 바로 채점 및 성적 분석 서비스[베스트셀러 1위] 교보문고 취업/수험서 분야 베스트셀러 1위(2019.12.22. 인터넷 일간 베스트, 개정 9판 기준)"
2020 하반기 해커스 GSAT 삼성직무적성검사 파이널 봉투모의고사 시험 직전 GSAT 실전 대비 / 상반기 GSAT 출제 경향 완벽 반영 총 4회분 제공,해커스 취업교육연구소,0.0점, 0,취업/수험서,취업/상식/적성검사,적성검사/SSAT,100% 신규 문항! 최신 GSAT 출제경향 및 기출유형 전격 반영  시험 직전 GSAT 실전 완벽 대비! 1. GSAT 최신 출제경향 및 기출유형을 반영한 실전모의고사 4회분으로 시험 직전 최종 마무리할 수 있습니다. 2. ‘취약 유형 분석표’와 ‘무료 바로 채점 및 성적 분석 서비스’로 나의 취약점을 파악하고 전략적으로 학습할 수 있습니다. 3. 상세한 해설과 ‘빠른 문제 풀이 Tip’으로 실전에서 정답률과 풀이 속도 모두 높일 수 있습니다.,"100% 신규 문항! 최신 GSAT 출제경향 및 기출유형 전격 반영시험 직전 GSAT 실전 완벽 대비! [이런 분에게 추천합니다]1. 삼성 최종 합격을 목표로 하는 분들2. 최신 출제경향에 따라 효율적으로 GSAT를 대비하고 싶은 분들3. 실전모의고사로 시험 직전 최종 마무리를 하고 싶은 분들  [해커스 교재만의 특장점]1. GSAT 최신 출제경향 및 기출유형을 반영한 실전모의고사 4회분으로 시험 직전 최종 마무리할 수 있습니다. 1) GSAT 실전모의고사 3회분 + 문제풀이 용지- 최근 출제경향 및 기출유형을 반영한 GSAT 실전모의고사 3회분과 문제풀이 용지를 이용하여 실전 감각을 극대화할 수 있습니다.- 2020년 상반기 GSAT 출제경향을 반영하여 100% 새로운 문제로 구성된 모의고사로 시험 전 최종 마무리할 수 있습니다.  2) GSAT 온라인 모의고사 1회분 실전처럼 제한 시간에 맞춰 온라인 모의고사 1회분을 풀어보며, 자신의 실력을 최종 점검하고 온라인 시험까지 완벽 대비할 수 있습니다.  2. ‘취약 유형 분석표’와 ‘무료 바로 채점 및 성적 분석 서비스’로 나의 취약점을 파악하고 전략적으로 학습할 수 있습니다. 1) 취약 유형 분석표교재 내 ‘취약 유형 분석표’를 통해, 자신의 실력을 점검하고 극복해야 할 취약점을 정확히 파악하여 보완할 수 있습니다.  2) 무료 바로 채점 및 성적 분석 서비스해설집에 수록된 ‘무료 바로 채점 및 성적 분석 서비스’ QR코드를 통해 손쉽게 정답을 채점할 수 있는 것은 물론, 응시 인원 대비 자신의 성적 위치를 확인하고 합격 가능성까지 예측할 수 있습니다.   3. 상세한 해설과 ‘빠른 문제 풀이 Tip’으로 실전에서 정답률과 풀이 속도 모두 높일 수 있습니다. 1) 오답 체크정답과 오답의 이유를 꼼꼼히 분석해주는 ‘오답 체크’를 통해 맞춘 문제뿐만 아니라 틀린 문제까지 보다 확실하게 학습할 수 있습니다.  2) 빠른 문제 풀이 Tip수리논리와 추리의 모든 유형(응용계산/자료해석/언어추리/단어유추/도형추리/도식추리/논리추론)에 ‘빠른 문제 풀이 Tip’을 제시하여 실전에서 문제 풀이 시간을 확! 줄일 수 있습니다.  [삼성 최종 합격을 위한 다양한 추가 혜택 - 해커스잡 job.Hackers.com]1) GSAT 온라인 모의고사 (교재 내 응시권 수록) 2) 무료 바로 채점 및 성적 분석 서비스3) 본 교재 인강 (교재 내 할인쿠폰 수록)"
"EBS 와우패스 JOB NH농협은행 5급 기출유형분석+실전모의고사4+1회분 2020,NCS직무능력+직무상식",와우패스 취업적성연구소,0.0점, 0,취업/수험서,취업/상식/적성검사,적성검사/SSAT,"NH농협은행5급 2020년 하반기 채용대비를 위한 교재로 기초이론부터 실전까지 한 번에 완성되는 농협은행5급 맞춤 학습서이다. 농협은행 채용의 핵심인 직무능력평가와 직무상식(금융경제상식)의 실전모의고사 4회분과 E-TEST 1회분을 수록하였으며,  또한 최근 논술 기출문제 6회분과 출제예상문제를 수록하여 이에 대비할 수 있도록 하였다.",
2021 전한길 한국사 3.0 기출문제집 - 전2권 공무원 시험 대비,전한길,0.0점, 0,취업/수험서,,,"『2021 전한길 한국사 3.0 기출문제집』은 2007~2020년에 시행된 국가직, 지방직, 서울시, 경찰직 등 주요 공무원 시험의 기출문제를 시대별로 수록한 기출문제집이다. 특히 2020년 최신 기출문제를 모두 수록하였고, 출제 트렌드를 빠르고 정확하게 확인할 수 있도록 주제의 맨 앞에 배치하였다. 본서는 난이도별 학습이 가능하도록 3단계로 기출문제를 배치하여 학습의 깊이와 폭을 넓히는 데 도움을 주었다. 또한, 출제 경향이 맞지 않아 시간을 낭비할 가능성이 높은 2006년 이전 기출문제와 의미 없이 반복되는 쉬운 문제는 지양하여 학습 효과를 높이고 학습 시간을 줄일 수 있도록 구성하였다. 그리고 모든 문제를 KEYWORD, 필수개념, 자료분석, 정답분석, 선택지분석, 개념확장 등 다양한 코너를 통해 심층적으로 분석하여 문제풀이와 이론 학습이 한 번에 가능하도록 하였다.","새로운 3.0의 혁신  더 쉽게 구성하여, 바르다. 필요한 것만 담아, 빠르다.간소화된 단계와 체계적 해설로  더 빠르게 한국사 고득점 완성이 가능해진다.  〈2021 전한길 한국사 3.0 기출문제집〉1. 단원별 기출 문제최신 기출을 중심으로 시대별, 주제별로 문제를 배치하였다. 유사한 문제가 모여 있어 출제 주제를 파악하는데 용이하다. 게다가 자료·사료, 선택지의 표현이 반복적으로 출제되고 있음을 직관적으로 체감할 수 있다. 중요성 파악은 물론, 읽기에도 수월하며 관련 개념 활성화에도 도움이 된다. 2. 필기노트, 올인원과의 연계기출문제를 풀다가 관련 개념을 확인할 수 있도록 필기노트와 올인원 도서의 쪽수를 표기하였다. 학습 흐름의 끊김 없이 모르는 부문을 즉시 이해할 수 있다.3. 단계별 문제 구성 수험생의 현재 수준과 준비 정도에 따라 난이도별 학습이 가능하도록 문항을 배치하였다. Step 1은 필수 유형이지만 다소 평이한 수준의 문항, Step 2는 난이도가 높은 문항을 엄선하였다. 합격의 당락을 가르는 킬러 문제는 ‘최고난도’로 별도 표기하였다. 4. 최신 기출 완벽 반영국가직, 지방직, 경찰직, 소방직, 교육행정직 등 2020년에 시행된 모든 기출문제를 수록하였다(2020년 9월 기준). 최신 기출문제를 한눈에 파악할 수 있도록 주제 맨 앞에 배치하였고, NEW를 별도 표기하여 가독성을 높였다. 5. 다양한 코너와 풍부한 해설 압도적으로 자세한 해설을 지향하며 학습에 필요한 모든 것을 한 권에 담았다. · 필수개념 : 문항을 푸는 데 필요한 기본적인 배경 지식· Keyword : 정답을 찾는 데 필요한 결정적 단어 · 자료/사료분석 : 제시문에 대한 자세하고 구체적인 분석 · 정답분석 : 정답이 되는 이유를 깊고, 넓고, 정확하게 분석 · 선택지분석 : 정답이 아닌 이유를 명쾌하게 해설 · 문풀스킬 : 문항을 쉽게, 정확하게, 빠르게 해결할 수 있는 요령· 개념/사료확장 : 더 알아두면 유용한 개념을 일목요연하게 정리 · 함정주의 : 헷갈릴 수 있는 내용을 콕 짚어 설명 · 용어이해 : 낯선 용어에 대한 알기 쉬운 설명"
NCS 한국산업인력공단 필기시험 봉투모의고사(2020)(고시넷) NCS 직업기초능력 + 한국사 + 영어로 구성한 실전모의고사 4회분 수록,고시넷 NCS 연구소,0.0점, 1,취업/수험서,공무원,7급 공무원,"2020년 한국산업인력공단 필기시험 대비 최신판 교재이다. 최근 시험 경향을 반영한 NCS 직업기초능력 6개 영역(의사소통, 수리, 문제해결, 자원관리, 조직이해, 직업윤리)과 한국사, 영어 과목이 수록되어 있으며 실제 시험과 동일하게 구성한 모의고사 4회분 총 400문항으로 필기시험을 완벽 마스터할 수 있다. 실전모의고사와 OMR 카드로 철저한 시간 배분 등 실전 연습이 가능하다. ",1. 2020 한국산업인력공단 필기시험 대비 최신판 - 한국산업인력공단의 최근 직무능력평가 출제 유형을 완벽 반영한 최신판 봉투 모의고사입니다.2. 직무능력평가 모의고사 4회분과 OMR 수록 - 최근 출제 경향에 맞게 구성한 모의고사 4회분으로 한국산업인력공단 필기시험을 효율적으로 준비할 수 있도록 하였습니다. - OMR 카드로 실전처럼 연습하여 시험에 완벽 대비할 수 있습니다.3. 정확한 답과 친절한 해설 - 모든 문제에 대해 정확하고 자세한 해설과 완벽한 오답 풀이를 수록하였습니다.
2020 해커스 투자자산운용사 최종핵심정리문제집 2020년 최신개정판 / 핵심정리부터 실전까지 4주 완성 / 실전모의고사 3회분 / 필수암기공식 40 수록,백영,0.0점, 3,취업/수험서,전문직,투자상담사,투자자산운용사 베스트셀러 1위!핵심정리부터 실전까지 4주 완성1. 2020 최신개정판! 최신 기본서 개정 내용 및 출제경향 완벽 반영2. 핵심정리부터 실전까지 한 권으로 완성!3. 단기 합격을 위한 '2주/4주/6주/8주 학습플랜' 수록4. 시험에 나올 내용만 모아 쉽고 빠르게 합격!5. 철저한 계산문제 대비를 위한 '필수암기공식 40' 수록6. 시험장까지 가져가는 '하루 10분 개념완성 자료집' 제공,"투자자산운용사 베스트셀러 1위!핵심정리부터 실전까지 4주 완성  [이런 분에게 추천합니다]1. 최신 출제경향을 파악해 투자자산운용사 시험에 단기 합격하고 싶은 분들2. 적중 실전문제와 포인트 해설로 이론 정리부터 문제풀이까지 한 번에 끝내고 싶은 분들3. 풍부한 모의고사로 충분한 실전 연습을 하고 싶은 분들4. 출제 비중이 높은 계산문제에 최적화된 학습자료로 완벽하게 대비하고 싶은 분들 [해커스 교재만의 특장점]1. 2020 최신개정판! 최신 기본서 개정 내용 및 출제경향 완벽 반영 2. 핵심정리부터 실전까지 한 권으로 완성!1) 출제 가능성이 높은 '출제예상문제'를 통해 시험에 나올 문제를 충분히 풀어보며 핵심 완벽 정리2) 실전모의고사 3회분을 제한 시간에 맞춰 풀고, 실제 시험처럼 OMR 답안지를 작성해봄으로써 실전 감각 극대화3) 오답포인트와 헷갈리는 부분까지 상세하게 짚어주는 '핵심포인트 해설'을 통해 약점 보완 후 합격 3. 단기 합격을 위한 '2주/4주/6주/8주 학습플랜' 수록1) 출제 빈도가 높은 문제를 중심으로 빠르게 학습하는 2주/4주 학습플랜과 교재 모든 내용을 순차적으로 학습하는 6주/8주 학습플랜 수록2) 자신에게 맞는 학습플랜을 선택해 효율적으로 학습 및 단기 합격 4. 시험에 나올 내용만 모아 쉽고 빠르게 합격!1) '학습전략' 및 '출제비중'     우선적으로 학습해야 할 부분을 확인하고 제시된 학습전략을 따라 효율적으로 학습 가능 2) '출제포인트'     각 장마다 핵심적인 부분과 출제 빈도를 표시하여 중점적으로 학습해야 하는 부분을 한눈에 파악 3) '용어 알아두기'     시험에 출제되는 전문용어에 대한 설명을 통해 헷갈리는 주요 전문용어 완전 정복 4) 출제빈도(★~★★★) 표시    '출제예상문제'마다 출제빈도를 표시하여 시험에 나올 문제를 중심으로 전략적인 학습 가능 5. 철저한 계산문제 대비를 위한 '필수암기공식 40' 수록1) 계산문제를 빠르고 정확하게 풀 수 있도록 필수 공식을 정리한 '필수암기공식 40' 수록2) 실제 시험과 동일한 난이도 및 수준의 응용문제로 계산문제 완전 정복 6. 시험장까지 가져가는 '하루 10분 개념완성 자료집' 제공1) 헷갈리기 쉬운 빈출 개념들을 정리한 '하루 10분 개념완성 자료집'으로 쉽고 빠른 개념 학습2) 암기 여부를 확인할 수 있는 OX/빈칸/객관식 문제를 통해 빈출되는 개념 복습 [해커스만의 추가 혜택 - 해커스금융 fn.Hackers.com] 1. 본 교재 인강 (교재 내 할인쿠폰 수록)2. 이론정리+문제풀이 무료 인강3. 하루 10분 개념완성 자료집 (PDF)4. 1:1 질문/답변 서비스5. 무료 시험후기/합격수기 [베스트셀러 1위] YES24 수험서 자격증 베스트셀러 투자자산운용사 분야 1위(2020.01.29. YES24 베스트셀러, 개정 6판 기준)"
"전한길 한국사 합격생 필기노트 공무원 9급 및 한국사능력검정시험 대비,2021",전한길,0.0점, 1,취업/수험서,공무원,9급 공무원,"『2021 전한길 한국사 합격생 필기노트』는 공무원 9급(경찰·소방·법원직·계리직 포함) 및 한국사능력검정시험 대비를 위한 수험서이다. 본서는 방대한 양의 한국사 내용을 핵심만 압축한 교재로, 한국사의 흐름과 핵심을 모두 잡아준다. 검·인정 교과서의 주요 내용 및 2020년 최신 공무원 한국사 기출문제(2020년 7월 11일 시행 국가직 9급 시험 포함)를 모두 수록하였다. 훌륭한 내용을 보기 좋게 전달하기 위해 가독성 좋은 NEW 글씨와 오래 보아도 눈이 덜 피곤하도록 색을 적용하였다. 본서는 예습, 복습에도 효과적이어서 자습용이나 스터디용으로 활용 가능하다.","한국사 시작부터 끝까지 함께하는 초단기 초정밀 고득점 합격 전략 [전한길 한국사 합격생 필기노트]의 구성과 특징1. 공무원 9급(경찰·소방·법원직·계리직 포함) 및 한국사능력검정시험 대비용 교재 공무원 9급(경찰·소방·법원직·계리직 포함) 및 한국사능력검정시험을 모두 대비할 수 있는 책이다. 난이도를 색깔별로 구분하여 지엽적이고 어려운 내용은 주황색으로, 중요한 내용은 빨간색과 파란색으로, 기존 국정교과서의 내용은 초록색으로 표시하였다. post-it의 색깔도 단순화하여 9급용은 노란색으로, 지엽적인 내용은 갈색, 새로운 내용이나 사료는 분홍색 포스트잇으로 구분하였다.2. 검·인정 교과서의 핵심 내용 모두 수록 “공무원 시험에 그대로 반영”되는 ‘국사편찬위원회’의 국정 한국사 교과서뿐만 아니라 현재의 검정 한국사 교과서 내용까지 모두 수록하여 「고등한국사 교과서」를 읽지 않아도 완벽하게 공부할 수 있도록 제작하였다. 그리고 단원 주제별 분류사는 [5.0 최종점검]을 통해 보완하길 권한다. 3. 시대사(선사·고대·고려·조선·근현대)로 단원 구분현재 「고등한국사 교과서」의 편제를 따라 시대사(선사·고대·고려·조선·근현대)로 단원을 구분하였다. 각 시대의 정치·경제·사회·문화를 종합적으로 이해하는 데 큰 도움이 될 것이다. 4. 2020 최신 공무원 기출문제 모두 반영  2020년 7월 11일 시행된 국가직 9급 시험까지 최신 공무원 기출문제를 모두 반영하여 수험에 만전을 기하였다. 5. 가독성을 고려한 구성 훌륭한 내용을 보기 좋게 전달하기 위해 가독성 좋은 NEW 글씨와 오래 보아도 눈이 덜 피곤하도록 색을 적용하였다. 지나치게 빽빽했던 부분을 나누어 추가로 필기할 수 있는 공간을 마련하였다. 더불어 이해를 도울 수 있는 그림 자료 및 신규기출 내용과 “두문자 암기법”도 추가하였다."
외환전문역 2종 최종핵심정리 문제집(2020)(해커스)(개정판) 개념부터 실전까지 2주 완성ㅣ개념완성+문제풀이 무료 인강ㅣ적중 실전모의고사 수록ㅣ하루 10분 개념완성 자료집,해커스 금융아카데미,0.0점, 0,취업/수험서,전문직,투자상담사,외환전문역 2종 베스트셀러 1위!개념정리부터 실전까지 2주 완성1. 2020 기본서 개정사항 및 최신 출제경향을 완벽하게 분석하여 반영한 최종핵심정리문제집!2. 단계별 문제풀이를 통해 개념정리부터 실전까지 한 권으로 끝낼 수 있습니다.3. 시험에 나올 내용만 모아 전략적인 학습이 가능합니다.4. 나에게 맞는 ‘2주/4주 학습플랜’을 통해 단기 합격할 수 있습니다.5. 영어 초보자도 2과목 국제무역규칙의 영어 문제를 완벽하게 대비할 수 있도록 상세한 해설과 한글 해석을 수록했습니다.,"외환전문역 2종 베스트셀러 1위!개념정리부터 실전까지 2주 완성 [이런 분에게 추천합니다]1. 최신 출제경향을 파악해 외환전문역 2종 시험에 단기 합격하고 싶은 분들2. 단계별 문제풀이를 통해 개념정리부터 실전까지 한 권으로 끝내고 싶은 분들3. 취약 과목을 파악하고 약점을 집중적으로 보완하여 한 번에 합격하고 싶은 분들 [해커스 교재만의 특장점]1. 2020 기본서 개정사항 및 최신 출제경향을 완벽하게 분석하여 반영한 최종핵심정리문제집!2. 단계별 문제풀이를 통해 개념정리부터 실전까지 한 권으로 끝낼 수 있습니다.3. 시험에 나올 내용만 모아 전략적인 학습이 가능합니다.4. 나에게 맞는 ‘2주/4주 학습플랜’을 통해 단기 합격할 수 있습니다.5. 영어 초보자도 2과목 국제무역규칙의 영어 문제를 완벽하게 대비할 수 있도록 상세한 해설과 한글 해석을 수록했습니다.2020 기본서 개정 내용과 최신 출제경향을 철저하게 분석 및 반영하여 외환전문역 2종시험에 완벽하게 대비할 수 있는 교재입니다. ‘개념완성문제’를 통해 개념을 정리하고, ‘출제예상문제+약점 극복 실전테스트+적중모의고사’로 최종 마무리까지 할 수 있어 한 권으로 단기 합격이 가능합니다.‘출제경향 및 학습전략’, ‘빈출포인트’를 제시하였고, ‘출제 빈도’와 ‘최신출제유형’을 표기하여 빈출되는 중요한 부분을 우선적으로 학습할 수 있습니다. ‘주말집중 플랜(2주/4주)’과 ‘평일 플랜(2주/4주)’ 중 자신에게 맞는 학습플랜으로 효율적으로 학습하고 빠르게 합격할 수 있습니다. 또한, 2과목 국제무역규칙 문제에 대한 상세한 해설과 한글 해석으로 초보자들도 쉽게 학습할 수 있습니다.[외환전문역 2종 단기 합격을 위한 해커스만의 추가 혜택 - 해커스금융 fn.Hackers.com]1) 본 교재 인강 (교재 내 할인쿠폰 수록)2) 하루 10분 개념완성 자료집3) 개념완성+문제풀이 무료 인강4) 신용장통일규칙(UCP600) 원문+해석5) 1:1 질문/답변 서비스"
2020 최신판 All-New 한국산업인력공단(산인공) 6급 채용 NCS 봉투모의고사 6회분 2020년 채용 대비/한국사&영어 문항 수록,NCS직무능력연구소,9.0점, 1,취업/수험서,공무원,7급 공무원,도서 특징한국산업인력공단 최신 출제방식 완벽 반영!1. 시험 직전 최종 점검이 가능한 최신 유형 모의고사 4회분 구성2. 최신 필기시험 출제경향을 고려한 회당 80문항 80분 5지선다형 맞춤 구성3. 한국사&영어 문항 수록4. 온라인 모의고사 2회분 제공5. 정확하고 자세한 해설로 혼자서 학습이 가능하도록 구성,"한국산업인력공단은 2020년에 6급 신규직원을 채용할 예정이다. 채용절차는 「지원서 접수 → 필기전형 → 면접시험 → 신체검사 및 임용등록 → 수습임용」 순서로 이루어진다. 한국산업인력공단은 필기시험에서 NCS 직업기초능력평가, 한국사, 영어까지 세 가지 영역을 평가한다. NCS 직업기초능력평가는 의사소통능력, 수리능력, 문제해결능력, 자원관리능력, 조직이해능력, 직업윤리 총 6개의 영역을 평가하며 한국사는 전 범위, 영어는 문법, 어휘, 독해, 비즈니스 영어 등 다양하게 출제된다. 이에 대비할 수 있도록 한국산업인력공단 채용 맞춤 모의고사를 구성하였다. 추가적으로 온라인 모의고사를 무료로 응시할 수 있는 쿠폰을 발급하여 한국산업인력공단의 문제 유형에 대한 연습과 함께 자신의 실력을 최종 점검할 수 있도록 하였다.한국산업인력공단 필기시험 합격을 위해 (주)시대고시기획에서는 2020년 채용을 대비하여 한국산업인력공단 맞춤형 문제로 구성한 『2020 최신판 All-New 한국산업인력공단(산인공) 6급 채용 NCS 봉투모의고사 6회분』을 출간하였다. 상세한 해설로 혼자서도 학습이 가능하도록 하였으며, 온라인 모의고사를 무료로 응시할 수 있는 쿠폰을 발급하여 한국산업인력공단 NCS 문제 유형에 대한 연습과 함께 자신의 실력을 최종 점검할 수 있도록 하였다."
2021 선재국어 기출실록 (해설 통합형) 7 9급 공무원 시험 대비,이선재,0.0점, 2,취업/수험서,공무원,9급 공무원,"《2021 선재국어 기출실록》(해설 통합형)은 기출문제를 수험에 적합한 방식으로 분류하고 가장 정확하고 이해하기 쉬우며 효율적인 해설을 더해 다른 기출문제집과 차별화된 책을 만들기 위해 노력했습니다. 그 특장점은 아래와 같습니다.- 특유의 분류법을 사용하여 최신 기출 경향을 한눈에 파악하다: 방대한 양의 기출문제를 단원별로 분류한 뒤 유형별로 다시 나누고, 분류된 문제들은 다시 최신 문제가 먼저 나오도록 역순으로 배치하였습니다. 이렇게 분류함으로서 최신 기출 경향을 유형별로 쉽게 파악할 수 있음은 물론, 해마다 영역별로 출제되는 문항 개수까지 가장 빠르게 파악할 수 있습니다. - 체계적인 내용 정리로 완벽한 학습을 돕다: 《기출실록》은 주관식 내용 정리 → OX 문제 → 기출문제 풀이의 3단계 구성으로 이루어져 있습니다. 먼저 주관식 확인 문제를 통해 전 범위 이론을 정리하여 자신의 실력을 점검한 다음에, 소주제가 시작되는 부분에 OX 문제를 배치하여 주관식 문제를 풀면서 정리한 이론을 한 번 더 확인한 뒤 기출문제를 풀면서 실전 감각을 기를 수 있게 하였습니다.- 시간을 단축하여 효율적으로 요약·정리하다: 기출문제와 해설을 함께 봄으로써 유형별, 분야별 최신 유형과 핵심 이론을 확인하고 요약·정리하는 데 효과적입니다. 문제 바로 밑에 수록되어 있는 자세한 해설과 함께 기본서 내용 요약, 강의 중심 내용 등을 정리해 두면 짧은 시간에 기출문제를 확인하고 기본서 내용을 복습할 수 있기 때문에 시간을 효율적으로 활용할 수 있습니다.","《2021 선재국어 기출실록》(해설 통합형)은 똑같은 기출문제라도 이를 수험에 적합한 방식으로 분류하고 가장 정확하고 이해하기 쉬우며 효율적인 해설을 더해 다른 기출문제집과 차별화된 책을 만들어 보자는 고민에서 출발하여, 수험생 여러분의 합격을 앞당길 수 있는 새로운 학습법을 제시하고자 태어났습니다.체계적인 내용 정리로 완벽한 학습을 돕기 위해서 주관식 내용 정리 → OX 문제 → 기출문제 풀이의 3단계로 구성하였습니다. 주관식 확인 문제를 통해 전 범위 이론을 정리하여 자신의 실력을 점검한 다음, 소주제가 시작되는 부분에 OX 문제를 배치하여 주관식 문제를 풀면서 정리한 이론을 한 번 더 확인한 뒤, 기출문제를 풀면서 실전 감각을 기를 수 있게 하였습니다.또한 기출문제와 해설을 함께 봄으로써 유형별, 분야별 최신 유형과 핵심 이론을 확인하고 요약·정리하는 데 효과적입니다. 문제 바로 밑에 수록되어 있는 자세한 해설과 함께 기본서 내용 요약, 강의 중심 내용 등을 정리해 두면 짧은 시간에 기출문제를 확인하고 기본서 내용을 복습할 수 있기 때문에 시간을 효율적으로 활용할 수 있습니다."
